Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Jet Edge International,https://www.crunchbase.com/organization/jet-edge-international,"Van Nuys, California, United States","Jet Edge International, a Bard Capital Company, is a leader in full-service global private aviation.  As an integrated large-cabin management operator and maintenance provider, Jet Edge services aircraft owners with a world-class operational platform and extends  individual clients and corporations 365-day-a-year access to one of the most diverse and luxurious aircraft fleets in the world.",Active,For Profit,Debt Financing,,2007-01-01,year,Aerospace
Nuvotronics,https://www.crunchbase.com/organization/nuvotronics,"Radford, Virginia, United States","Nuvotronics, LLC designs, develops, and fabricates custom networks of circuits and passive components for complex microwave systems. In addition, it builds a library of components, including filters, transmission-line and cavity resonators, and diplexers; hybrid and directional couplers; power dividers and combiners; patch-style antennas; and jumpers, connectors, and transitions. Nuvotronics, LLC was founded in 2008 and is based in Radford, Virginia with a manufacturing facility in Durham, North Carolina.",Active,For Profit,Venture - Series Unknown,,2008-01-01,year,"Aerospace, Hardware, National Security, Software"
AerSale Holdings,https://www.crunchbase.com/organization/aersale-holdings,"Coral Gables, Florida, United States","AerSale specializes in the sale, lease, and exchange of used aircraft, engines, and components, in addition to providing a broad range of maintenance, repair, and overhaul and engineering services for commercial aircraft and components. AerSale also offers asset management services to owners of end-of-life aircraft and engine portfolios.",Active,For Profit,Post-IPO Equity,,2008-01-01,year,"Aerospace, Manufacturing, Sales"
Nanocomp Technologies,https://www.crunchbase.com/organization/nanocomp-technologies,"Concord, New Hampshire, United States","Nanocomp Technologies Inc (NCTI), based in Concord, NH, was formed in 2004 as a spin-out of Synergy Innovations, Inc., a technology development company. NCTI’s vision is to leverage its proprietary and fundamental advancements in the production of long carbon nanotubes together with a unique ability to fabricate them into physically strong, lightweight, electro-thermally conductive spun yarns and sheets. The company’s goal is to create products with revolutionary performance benefits, creating a new generation of electro-energy and thermal management devices, and advanced structural materials. Carbon nanotubes are the foundation for accomplishing this goal.",Active,For Profit,Venture - Series Unknown,,2004-01-01,year,"Aerospace, Automotive, Nanotechnology"
American Lithium Energy (ALE),https://www.crunchbase.com/organization/american-lithium-energy-ale,"Carlsbad, California, United States","American Lithium Energy (ALE) is shipping the world's highest energy density silicon anode lithium-ion batteries with patented zero-volt stability, fast charging, extreme low temperature performance and industry best safety. ALE is growing rapidly, has sold over 100,000 units to date and closely engaged with global customers across multiple industries, including Defense, EV, MedTech and Aerospace.  ALE is headquartered in Carlsbad, California where it has 23,000 sqft R&D, testing, and pilot production facility. ALE is in the process of building a megawatt-hour cell manufacturing facility in Southern California slated to be operational in late 2023.",Active,For Profit,Grant,,2006-01-01,year,"Aerospace, Electric Vehicle, Energy, Medical Device, Mining, Renewable Energy"
Astrobotic Technology,https://www.crunchbase.com/organization/astrobotic-technology,"Pittsburgh, Pennsylvania, United States",Astrobotic Technology Inc. is a Pittsburgh based company that delivers affordable space robotics technology and planetary missions.,Active,For Profit,Grant,,2008-01-01,year,"Aerospace, Information Technology, Robotics"
De-Ice,https://www.crunchbase.com/organization/de-ice,"Somerville, Massachusetts, United States","De-Ice is an MIT spin-out that’s developing ground and in-flight ice protection systems for the aerospace industry. De-Ice's electrical system generates time and cost efficiencies by replacing the incumbent on-ground chemical solutions with a technology that is faster, cheaper, safer and less disruptive to operations. The system is also a mission-enabler by allowing flights into and out of remote locations, as well as enhancing in-flight capability through eliminating bleed air.",Active,For Profit,Venture - Series Unknown,,2003-03-01,day,"Aerospace, Chemical, Electronics, Information Technology"
Tego,https://www.crunchbase.com/organization/tego,"Waltham, Massachusetts, United States","Tego is a complete solution for asset tracking and data management, at the edge. Tego's asset intelligence platform (AIP) embeds intelligence on any product or asset enabling digitization of information related to the asset, whether that be lifecycle history, regulatory and process compliance, or integrity data. Information is at the organization’s fingertips, for operational intelligence, process optimization, and new revenue models. It also provides manufacturers the capability to easily and securely embed and manage critical data and information directly on any physical thing, object, product, or asset. Tego is providing complete asset tracking, supply chain, and lifecycle management solutions and edge intelligence in both disconnected and inhospitable environmental conditions. The integrated hardware-software platform provides unique data reporting capabilities across the asset’s entire life cycle—even in the most extreme and inhospitable environments.",Active,For Profit,Venture - Series Unknown,,2005-01-01,year,"Aerospace, Application Performance Management, Industrial Manufacturing, Internet of Things, Life Science, Mobile, Mobile Apps"
GeoOptics,https://www.crunchbase.com/organization/geooptics,"Pasadena, California, United States","GeoOptics is an Environmental Earth Observation technology company that delivers the highest quality atmospheric, real-time data available about our planet. Founded by working scientists, engineers, and data users GeoOptics offers is meeting the growing global demand for observing our planet and learning more about our changing environments. The value of our technologies and data for our users is far greater advanced insights on cataclysmic weather events and emerging impacts the Earth's environment has on all life before they happen.  GeoOptics offers a clear view ahead today.",Active,For Profit,Venture - Series Unknown,,2006-01-01,year,"Aerospace, Data Integration, Environmental Consulting, Geospatial, Information Services"
Internet Distribution Systems (IDS LLC.),https://www.crunchbase.com/organization/internet-distribution-systems-ids-inc,"Woodland Hills, California, United States","IDS LLC (Internet Distribution Systems) is an award-winning travel portal development and mobility solutions company, delivering B2B / B2C travel software, travel CRM, travel club software, accounting software, car rental software, hotel reservation software, timeshare inventory search engines, alternative lodging software and mobility solutions to global travel & hospitality companies. We work with over one hundred and forty top travel aggregators, global distribution systems, channel managers and DMCs. With a clear focus on technology‚ agile methodology and innovation, we ensure quality deliverables and speedy turnaround to develop and deliver scalable travel portals and booking engines.  Differentiators At IDS, we understand that attracting and keeping customers is at the heart of business survival. That is why our excellent customer service has been the main differentiator which brings IDS our competitive advantage. Our well-defined execution process gives us the thrust for growth and development. To ensure reliability and high performance, IDS and its employees live by our commitment to three core values: Innovation, Quality and building Enduring Relationships with customers, employees, and society at large. People We lay strong emphasis on values and long-term association. Every employee is an invaluable asset to IDS. We believe in generating positive attitudes and a strong work ethic among them. People at IDS are innovative, smart, hardworking, dedicated and from culturally diverse backgrounds. Our talents and vast experiences enhance the quality of our environment and make IDS INC a great place to work. Values We at IDS LLC are dedicated to total customer satisfaction. are passionate about our customer service. conduct our business with a high degree of integrity and honesty. treat customers and associates with utmost respect. strive hard to exceed our customers' expectations. add value to the communities where we work and live.",Active,For Profit,Series A,Women Founded,2007-02-02,day,"Adventure Travel, Air Transportation, Business Travel, Hotel, Leisure, Loyalty Programs, Online Portals, Software, Travel, Vacation Rental"
Flightdocs,https://www.crunchbase.com/organization/flightdocs,"Bonita Springs, Florida, United States","Flightdocs has been empowering aircraft operators through our comprehensive maintenance tracking software since 2003. Founded in Long Island, New York, we have helped lead the rapid adoption of software technology in the aviation industry, and were the first maintenance tracking provider to offer a web-based solution, an iPad application, and fully compliant electronic sigature. Today, headquartered in beautiful Southwest Florida, Flightdocs is proud to support thousands of aircraft worldwide. They’re proud of where we come from, but we’re even more excited as to where we’re going. Flightdocs is rapidly growing year-over-year, with increased product features, dedicated customer service, and partnerships with other thought-leaders in the industry.",Active,For Profit,Venture - Series Unknown,,2003-01-01,year,"Aerospace, Software"
Phizzle,https://www.crunchbase.com/organization/phizzle,"San Francisco, California, United States","Phizzle EDGMaker - Unlocking & Digitizing the Most Valuable Scientific Data in Pharmaceutical Manufacturing.  ​ Phizzle is the only IoT solution to remotely operate and automate multi-vendor particle counters for scientific data applications in Pharmaceutical Manufacturing, Clear Air, and Food Manufacturing. The EDGMaker software stack offers fully digitized testing and compliance processes to reduce labor, human error, and wasted batches in regulated manufacturing.  The company was founded in 2005 and is headquartered in San Francisco, California.",Active,For Profit,Convertible Note,,2005-08-15,day,"Aerospace, Autonomous Vehicles, Industrial Automation, Oil and Gas, Pharmaceutical, Smart Cities, Telecommunications, Transportation"
Aspen Avionics,https://www.crunchbase.com/organization/aspen-avionics,"Albuquerque, New Mexico, United States","Aspen Avionics, based in Albuquerque, New Mexico, was founded by aviation enthusiasts in 2004. The company specializes in bringing the most advanced technology and capability into general aviation cockpits. Its products increase situational awareness and reduce pilot workload, making it even easier and safer to fly in both VFR and IFR conditions. The company’s philosophy is that getting the latest avionics technology shouldn’t always mean spending a lot of money—on equipment or on installation.",Active,For Profit,Debt Financing,,2004-01-01,year,"Air Transportation, Computer, Manufacturing, Public Transportation"
ISO Group,https://www.crunchbase.com/organization/iso-group,"Melbourne Beach, Florida, United States","ISO Group, Inc. provides defense and aerospace spare parts, tooling, and equipment. Its defense solutions include military aircraft and aviation products; military land vehicles; sustainment services, such as engine repowering/engine remanufacturing, and up-armoring services; and military and army sustainment services, including third party logistics support, integrated logistics support, performance based logistics, foreign military sales support, ID/IQ contract support, defense contractor support, RESET program support, spare parts inventory, maintenance spare parts, and MILSPEC parts services. The company’s aerospace solutions comprise commercial platforms; aerospace products and services, such as parts manufacturer approval, kitting, aircraft on ground consumables, rotables, fasteners, and avionics; and engines. It also offers maintenance, repair, and overhaul (MRO) solutions, such as blanket purchase agreements, ground support equipment, tooling, general mechanics tool kits, service kits, inventory tracking, global supply chain, power transmission, vehicle maintenance, MILSPEC hardware, MILSPEC connectors, and MILSPEC fasteners. The company serves government users, prime contractors, MRO customers, manufacturers, and distributors. ISO Group, Inc. was formerly known as ISO Parts, Inc. and changed its name to ISO Group, Inc. in 2006. The company was founded in 2003 and is based in West Melbourne, Florida.",Active,For Profit,Venture - Series Unknown,,2003-01-01,year,"Air Transportation, Manufacturing, Travel"
Cumberland Additive,https://www.crunchbase.com/organization/directed-mfg,"Pflugerville, Texas, United States",Cumberland Additive manufactures complex 3D printed metal and plastic parts for both production and prototype applications. The company started as Directed MFG and works to tight customer specifications providing material traceability from the powder to the shipping container.,Active,For Profit,Venture - Series Unknown,,2007-01-01,year,"Aerospace, Industrial Manufacturing, Manufacturing, Plastics and Rubber Manufacturing"
Aerovel,https://www.crunchbase.com/organization/aerovel,"White Salmon, Washington, United States","Aerovel Corporation was founded in 2006 by Dr. Tad McGeer, a designer of unmanned aerial systems (UAS) at various companies for more than 25 years. Dr. McGeer co-founded The Insitu Group in 1992, where he was the architect of Aerosonde, SeaScan and ScanEagle. Aerovel Flexrotor is the next evolution in Dr. McGeer’s line of unmanned aerial systems. The Aerovel Flexrotor unmanned aerial system (UAS) is designed for maritime and land-based operations, day and night, and combines endurance and expeditionary capabilities. It needs a 20’ by 20’ area for launch and recovery. Flexrotor takes off and lands vertically (VTOL) and then transitions into horizontal wing-borne flight. It flies completely automatically after takeoff, with no pilot intervention needed. Flexrotor quickly assembles for flight, can be rapidly re-stowed in its compact case for storage and transported on a small flatbed truck. Aerovel Flexrotor has a flight endurance of more than 32 hours, which is a record-setting Group 2 UAS flight endurance, and a 100-kilometer communications range. It is an all-weather aircraft that has operated in harsh conditions including off of various vessels in the Arctic and tropics. A fixed-wing aircraft, Aerovel Flexrotor requires no runway or launch and retrieval equipment.  It is designed for observation, monitoring, intelligence gathering, communications relay, surveillance, reconnaissance, security and scientific data collection. It can be used for a diverse range of commercial, civil and military applications at sea and on land. ",Active,For Profit,Venture - Series Unknown,,2006-01-01,year,"Aerospace, Drones, Manufacturing, Security"
Veelo Technologies,https://www.crunchbase.com/organization/general-nano-llc,"Cincinnati, Ohio, United States","Veelo Technologies is a manufacturer of advanced materials that empower customers to improve performance, efficiency, and sustainability in a variety of industries. Our patented Carbon Nanotube (CNT) technology produces lightweight, conductive customized materials that can be seamlessly integrated into existing manufacturing processes. Our materials are unique to the market because of our differentiating CNT technology. The Carbon Nanotubes used in our manufacturing process are orders of magnitude longer and purer than conventional Carbon Nanotubes. This technology has paved the way for the next generation of lightweight, conductive aerospace composite materials that can be customized for a variety of applications.",Active,For Profit,Venture - Series Unknown,,2008-01-01,year,"Advanced Materials, Aerospace, Electronics, Hardware, Manufacturing, National Security"
Terrafugia,https://www.crunchbase.com/organization/terrafugia,"Woburn, Massachusetts, United States","Terrafugia (terra-FOO-gee-ah), based inWoburn, MA, is comprised of a team of award-winning engineers who have been advancing the state of personal aircraft since 2006. Founded by five pilots who are graduates of MIT and supported by a world-class network of advisors and private investors, Terrafugia's mission is the innovative expansion of personal mobility. ""Terrafugia"" is Latin for ""escape from land.""",Active,For Profit,Series C,Women Founded,2006-05-01,day,"Aerospace, Manufacturing, Public Transportation"
Free Form Fibers,https://www.crunchbase.com/organization/free-form-fibers,"Saratoga Springs, New York, United States","Free Form Fibers is a developer of chemical vapor deposition technology designed to produce low-cost, high-performance inorganic fibers. They employ laser-driven chemical vapor deposition to produce long, continuous fiber arrays at high production speeds from a wide array of material compositions. These applications include military, aerospace, automotive, medicinal, energy, and other industries that use heat- and chemical-resistant fibers.",Active,For Profit,Seed,,2009-01-01,day,"Aerospace, Energy, Military"
Cotsworks,https://www.crunchbase.com/organization/cotsworks,"Cleveland, Ohio, United States","Cotsworks manufactures rugged optical components for the commercial, military, aerospace, and industrial markets. The company was founded in 2006 and is based in Cleveland, Ohio, United States.",Active,For Profit,Venture - Series Unknown,,2006-01-01,year,"Aerospace, Communications Infrastructure, Information and Communications Technology (ICT), Manufacturing, Military"
Avion,https://www.crunchbase.com/organization/avion,"San Francisco, California, United States","Avion is an autonomous aerial network that delivers medicals and vaccine supplies via drones. It designs, builds, and operates hybrid, autonomous, vertical takeoff, and landing UAVs for the provision of medium and long-range aerial logistics services.",Active,For Profit,Pre-Seed,Black / African American Founded,2007-07-07,day,"Aerospace, Drones, Medical"
Bye Aerospace,https://www.crunchbase.com/organization/bye-aerospace,"Englewood, Colorado, United States","Bye Aerospace designs, builds, and markets electric-powered and solar-powered aircraft. It offers medium and high altitude unmanned aerial vehicles (UAVs).  George E. Bye founded Bye Aerospace in 2007. It has its headquarters in Englewood in Colorado.",Active,For Profit,Series B,,2007-01-01,year,"Aerospace, Air Transportation, Consulting, Industrial Engineering, Renewable Energy"
Sunlight Aerospace,https://www.crunchbase.com/organization/sunlight-photonics,"Edison, New Jersey, United States","Sunlight Aerospace is a developer of an airborne wireless communications system to offer wireless broadband and internet services. The company's primary focus is the development of Sunfleets, which are fleets of solar UAVs with cutting edge airframe designs, lightweight PV, formation flight control systems, and distributed communication payloads. These UAVs are specifically designed for high-altitude long-endurance missions and are enabling platforms for new airborne wireless communications networks designed for broadband wireless and internet services.",Active,For Profit,Venture - Series Unknown,,2008-01-01,year,"Aerospace, Solar"
Ramon.Space,https://www.crunchbase.com/organization/ramon-space,"Palo Alto, California, United States","Ramon.Space builds space-resilient super-computer systems that bring cloud computing to space. The New Space market is driven by privatization and commercial goals that give birth to new space services and applications. The demand for significant processing power, storage and better intelligence creates a huge market potential. Yet, the scale of computing capabilities required for New Space applications is not available today due to environmental challenges such as radiation and extreme temperatures.  Powered by its unique AI/ML processors, Ramon.space’s software-defined systems enable the realizations of earth-like computing capabilities in space. The company's proven technology is already deployed in space, and is used in many satellites and in more than 50 space missions across the solar system - with zero failures.  With its innovative technology and an enthusiastic team that constantly pushes the boundaries of technology, Ramon.Space is set to lead the digital transformation of space.",Active,For Profit,Series A,,2004-01-01,day,"Aerospace, Computer, Electronics, Machine Learning, Semiconductor, Software"
TCarta,https://www.crunchbase.com/organization/tcarta,"Denver, Colorado, United States","TCarta delivers seabed mapping and bathymetric data for maritime applications. For geospatial remote sensing intelligence, coastal engineering, environmental and coastal monitoring, and global mapping applications, it offers inland, coastal, and offshore hydrostatic and geospatial mapping systems and solutions.",Active,For Profit,Grant,,2008-01-01,day,"Aerospace, Analytics, Geospatial, Information Services, Software"
WingTips,https://www.crunchbase.com/organization/wingtips,"Temecula, California, United States","WingTips is an air service that allows you to request an entire flight or, with our on-demand flights, you can book and pay for only the seats you need. On-demand seats deliver the convenience of private charter flights at a lower cost than reserving the entire flight and are comparably priced to a first-class ticket on a commercial flight. WingTips' unique flight options bring you the “best of both worlds!” You put in your personal flight request, just like you would do with a charter operator for a private charter flight. WingTips software finds travel itineraries that match other traveler requests. Then, we provide flight options so you can choose the flight that meets your travel needs and budget. WingTips flights are shared with other travelers, your fare is a fraction of the cost of a private charter.",Active,For Profit,Seed,,2008-01-19,day,"Air Transportation, Logistics, Travel"
Valley Tech Systems,https://www.crunchbase.com/organization/valley-tech-systems,"Folsom, California, United States","Valley Tech Systems is an aerospace company that specializes in C4ISR Systems, Aeronautics and Propulsion, and Engineering Services and Consulting. Its mission is to provide the most advanced and innovative solutions to the complex problems found in Department of Defense weapon systems. The company was founded in 2006 and headquartered in Folsom, California.",Active,For Profit,Venture - Series Unknown,,2006-01-01,year,"Aerospace, Information Technology, Manufacturing, Software"
SONIC BLUE AEROSPACE,https://www.crunchbase.com/organization/sonic-blue-aerospace,"Portland, Maine, United States","Sonic Blue Aerospace develops technologies and intellectual property for new hybrid jet and electric vertical take-off and landing propulsion systems, energy generation, high-speed aerodynamics, advanced composite structures, and related technologies.  The company was incorporated in 2004 and is based in Portland, Maine.",Active,For Profit,Venture - Series Unknown,,2005-01-01,year,"Aerospace, Electrical Distribution, Energy, Intellectual Property"
Engineered Propulsion Systems,https://www.crunchbase.com/organization/engineered-propulsion-systems,"New Richmond, Wisconsin, United States","At Engineered Propulsion Systems, we are changing the future of General Aviation with our state-of-the-art lightweight diesel engine, the Graflight V-8, which runs in the 320 to 420 horsepower range. This engine is the first of its kind, designed from scratch to achieve the best fuel economy the business has ever seen.  The Graflight V-8’s eight-cylinder, 4-stroke piston engine takes full advantage of the extensive research and development that has elevated automotive diesel engines to the highest standards, incorporating them into an engine designed specifically for general aviation.  It offers incredible advancements in reliability, safety and durability by taking a high-tech approach to the problems commonly found in competitors’ engines and eliminating them through a combination of extremely rugged yet lightweight materials and by employing the most advanced proven automotive techniques for monitoring and controlling engine performance. The Graflight V-8 is unlike anything that has ever been put inside a general aviation airplane and the results can be seen in virtually every aspect of its performance and design. Though it is of comparable weight and size, the Graflight V-8 has shown up to 40 percent fuel savings when matched against comparable turbine engines.  The engine increases range by up to 50 percent or payload by up to 40 percent compared to Avgas-powered aircraft. When compared with other aviation diesels, it is still 15 percent more fuel efficient because unlike those engines, it was built specifically to meet the requirements of flight.  It is also the cleanest and greenest engine ever manufactured for the GA market, cutting CO2 emissions by 30 percent over comparable Avgas engines and by 17 percent over competing diesel engines. In fact, if this engine could be installed in every car in America, it would cut fuel consumption across the board by 30 percent – just imagine!",Active,For Profit,Venture - Series Unknown,,2006-01-01,year,"Aerospace, Innovation Management"
Planetoid Mines Corporation,https://www.crunchbase.com/organization/planetoid-mines-company,"Cape Canaveral, Florida, United States","Manufacture of water and molten oxide electrolysis reactors and electrolyte membrane fuel cells, producing green hydrogen, oxygen, and methane rocket fuel on Earth, on the moon and mars, and on asteroids. Excavation and extraction tools, sub-terrain caverns and lava tube boring tunneler, regolith processing, separation and refining equipment.",Active,For Profit,Pre-Seed,,2003-06-12,day,"Aerospace, Autonomous Vehicles, Mineral, Mining, Mining Technology, Precious Metals, Robotics"
AnCatt,https://www.crunchbase.com/organization/ancatt,"Wilmington, Delaware, United States","AnCatt is the award-winning inventor of the world's only successful heavy-metal free (GREEN) high-performance anti-corrosion coatings after 50 years of worldwide R&D efforts,  and surprisingly this green coating also out-performed current products in  all performance categories such as thinner, easier-to-use, self-sealing from scratches, most impressive was the dramatically extended corrosion durability out-lasts over current best products on the market.    AnCatt iBarrierTM coating will be the next generation anti-corrosion coating platform to revolutionized the $30 billion global anti-corrosion coating markets with both unprecedented performance and sustainability.  It will become the No. 1 anti-corrosion coating choice for future manufacturing and construction practices worldwide. The company is currently offering three lines of coating products:  1) wash primer system 2) epoxy primer system, and  3) wasterborne epoxy system:  the world's only high-performance waterborne epoxy anti-corrosion paint product, and it has outperformed current best solvent-borne products on the market.   AnCatt company also offer customized product engineering services using its award-winning anti-corrosion coating platform to suite your special needs.   The company was founded in 2008 for R&D purpose.  With NSF support, AnCatt successfully implemented its anti-corrosion coating form into the market standard epoxy coating system and worked out the scale-up manufacturing processes by the end of 2019.  AnCatt owns U.S.,  EU, and Canada Patents and registered trademarks.",Active,For Profit,Non-equity Assistance,"Women Founded, Women Led",2008-07-01,day,"Air Transportation, Energy Efficiency, Environmental Engineering, Manufacturing, Marine Transportation, Pollution Control, Sustainability, Transportation"
Drone Aviation,https://www.crunchbase.com/organization/drone-aviation,"Jacksonville, Florida, United States","Drone Aviation Holding Corp. (DRNE) develops and manufactures cost-effective, compact and rapidly deployable aerial platforms including lighter-than-air aerostats and electric-powered drones designed to provide government and commercial customers with enhanced surveillance and communication capabilities. Utilizing a proprietary tether system, the Company's products are designed to provide prolonged operational duration capabilities combined with improved reliability, uniquely fulfilling critical requirements in military, law enforcement and commercial and industrial applications.",Active,For Profit,Post-IPO Equity,,2009-01-01,year,"Aerospace, Intellectual Property, Mobile, Robotics"
