Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Momentus,https://www.crunchbase.com/organization/momentus-space,"Santa Clara, California, United States","Momentus is a U.S. commercial space company that plans to offer in-space infrastructure services, including in-space transportation, hosted payloads and in-orbit services. Momentus believes it can make new ways of operating in space possible with its planned in-space transfer and service vehicles that will be powered by an innovative water plasma-based propulsion system that is under development.",Active,For Profit,Post-IPO Equity,,2017-11-01,month,"Aerospace, Space Travel, Transportation"
Whisper Aero,https://www.crunchbase.com/organization/whisper-aero,"Crossville, Tennessee, United States","Harnessing the power of air more cleanly, efficiently, and quietly than ever before.",Active,For Profit,Series A,,2020-07-01,month,"Aerospace, Air Transportation, GreenTech"
Epirus,https://www.crunchbase.com/organization/epirus,"Hawthorne, California, United States","Epirus is a high-growth technology company developing solid-state, software-defined directed energy systems that enable unprecedented counter-electronics effects and power management solutions to optimize power efficiency in defense and commercial applications. With a constant emphasis on innovation, we are redefining the future of power to bring tomorrow’s capabilities to life, today. And that’s just the beginning. Visit our website to learn more about our innovative approach and cutting-edge product lines.",Active,For Profit,Series C,,2018-01-01,year,"Aerospace, Machinery Manufacturing, Software"
Akash Systems,https://www.crunchbase.com/organization/akash-systems,"San Francisco, California, United States","Akash Systems is focused on developing and supplying the next generation of small satellites (CubeSats), satellite transmitters, and the RF Power Amplifiers. The company uses new composite material, gallium nitride (GaN)-on-Diamond, invented by Akash cofounder Ejeckam, for their products. GaN-on-Diamond provides a cooler state of operation which improves energy efficiency and reduces a system's size, weight, and operating costs.  Akash Systems was founded in 2016 by Felix Ejeckam and Ty Mitchell and is headquartered in San Francisco, CA.",Active,For Profit,Series B,"Black / African American Founded, Black / African American Led",2016-01-01,year,"Aerospace, Information Technology, Manufacturing, Satellite Communication, Space Travel"
Stoke Space,https://www.crunchbase.com/organization/stoke-space-technologies,"Seattle, Washington, United States","Stoke Space is on a mission to sustainably scale the space economy using 100% reusable rockets. A thriving economy in space is needed to make life on Earth more vibrant, sustainable, and equitable. Space technology will enable global access to information, solutions to climate change, answers to global food security, products that transform healthcare, clean energy production, and more. But to get to orbit, rocket launch options today are slow, expensive, and unreliable. Stoke is building the world’s most efficient fully and rapidly reusable rocket designed to fly daily that will radically increase access to space and open up the space economy to safeguard Earth.",Active,For Profit,Grant,,2019-01-01,year,"Aerospace, Product Design, Space Travel"
Breeze Airways,https://www.crunchbase.com/organization/breeze-airways,"Salt Lake City, Utah, United States","Breeze Airways is a new airline that builds something brand new and really special for guests. Breeze Airways (initially Moxy Airways) is a planned airline in the United States due to begin operations in 2021.  The airline was founded by David Neeleman (who previously co-founded Morris Air, WestJet, JetBlue, and Azul Linhas Aereas).",Active,For Profit,Series B,,2018-06-01,day,"Air Transportation, Customer Service"
Varda,https://www.crunchbase.com/organization/varda-ba64,"San Francisco, California, United States",Varda is a space manufacturing startup that focuses on creating products in space for terrestrial applications. They aim to manufacture things in space that benefit from low gravity. The company intends to create an infrastructure that harvests source materials for new products in-space via asteroid mining. The company was founded in 2020 by Delian Asparouhov and Trae Stephens.,Active,For Profit,Grant,,2020-01-01,year,"Aerospace, Manufacturing, Product Design"
Hadrian,https://www.crunchbase.com/organization/hadrian-caa2,"Hawthorne, California, United States","Hadrian is a machine-parts startup that manufactures precision components for cutting-edge technology companies. It builds autonomous, software-defined precision component factories that help its customers make rockets, satellites, jets, and eVTOLs 2x faster and cheaper. The company was founded in 2020 and is based in Hawthorne, California.",Active,For Profit,Series A,,2020-11-01,month,"Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management"
LeoLabs,https://www.crunchbase.com/organization/leolabs,"Menlo Park, California, United States","LeoLabs is an aerospace company that supplies and provides low Earth orbit mapping and space situational awareness services. The company's software platform offers an open API and provides the basis for a new generation of SSA and traffic safety services. LeoLabs was founded in 2015 and is headquartered in Menlo Park, CA.",Active,For Profit,Series B,,2016-01-01,year,"Aerospace, Database, Mapping Services, Software"
Slingshot Aerospace,https://www.crunchbase.com/organization/slingshot-aerospace,"Austin, Texas, United States","Slingshot Aerospace builds world-class space data, analytics and simulation solutions. We are driven by our vision of accelerating space sustainability to create a safer, more connected world. Space is increasingly complex due to the exponential growth of global launch activity, the proliferation of new data sources, and the ever-growing body of new satellites and debris. Organizations are making mission-critical decisions in this high-risk environment and they need the right information at the right time. Slingshot Aerospace empowers government and commercial space organizations to better design, manage, and safeguard their assets, as well as mitigate risks, to ensure safe and reliable operations for all space-faring users. We are achieving this by bringing the space domain into the digital environment and fusing together data from different sources to provide a full, dynamic orbital picture. In doing so, Slingshot Aerospace customers can make decisions at the speed of relevance and achieve clarity in complex environments.",Active,For Profit,Series A,"Women Founded, Women Led",2017-01-01,year,"Aerospace, Analytics, Simulation, Software"
Voyager Space,https://www.crunchbase.com/organization/voyager-space-holdings,"Denver, Colorado, United States","Voyager Space Holding is an aviation and aerospace company that specializes in the space exploration industry. The company is driven by its mission is to create a vertically integrated publicly traded NewSpace company capable of delivering any mission humans can conceive. Voyager Space Holding was founded in 2019 and is headquartered in Denver, Colorado.",Active,For Profit,Private Equity,,2019-08-15,day,"Aerospace, Infrastructure, Space Travel"
ZeroAvia,https://www.crunchbase.com/organization/zeroavia-inc,"Hollister, California, United States","ZeroAvia is a British and American aviation company founded in 2017 by Val Miftakhov, who also founded the electric vehicle battery startup eMotorWerks. Before founding ZeroAvia, eMotorWerks was acquired by international energy conglomerate Enel. A licensed pilot, Miftakhov saw an opportunity to pursue his dream of flying airplanes while also electrifying them and completely transforming commercial transportation. ZeroAvia developed a vision to serve as a responsible steward of the environment by bringing hydrogen-powered aircraft to the market. The hydrogen-electric powertrain technology vastly reduces carbon emissions and reduces noise, all while lowering fuel and maintenance costs for airlines. For ZeroAvia's promising HyFlyer I project, the European Marine Energy Centre (EMEC) delivered the fueling systems necessary for test flights as well as infrastructure designed for airports. The HyFlyer II project will carry more passengers and fly up to 500 miles, with the ambitious goal of seating up to 100 passengers and traveling more than 1,000 miles by 2030. As consumer preferences shift toward other methods of travel due to concerns about sustainability, and with the airline industry battered by the COVID-19 pandemic, ZeroAvia is capitalizing on the need for carbon-free transportation options. British Airways has formed a partnership with ZeroAvia to achieve its net-zero goal by 2050. Upon receiving $21.4 million in series A funding in conjunction with $16.3 million in grant funds from the UK government from the Aerospace Technology Institute (ATI), ZeroAvia has raised $49.7 million from inception to bring hydrogen fuel cells to the market by 2023.",Active,For Profit,Series B,,2017-11-01,month,"Aerospace, Air Transportation, CleanTech, Industrial"
Loft Orbital,https://www.crunchbase.com/organization/loft-orbital-solutions-inc,"San Francisco, California, United States","Loft Orbital operates microsatellites and flies customer payloads, as a service. Loft Orbital offers an end-to-end service that delivers your mission to orbit on a standard microsatellite bus. The company handles all elements of a satellite campaign from end to end - booking, launching and operating a satellite as well as securing the necessary licenses, insurance, and financing.",Active,For Profit,Series B,,2017-01-01,year,"Aerospace, Satellite Communication"
Vannevar Labs,https://www.crunchbase.com/organization/vannevar-labs,"Palo Alto, California, United States","Vannevar Labs is a group of technologists and former defense and intelligence officers building computer vision and natural language processing products for some of the country’s most important national security problems. The company believes its military service members and intelligence officers deserve access to the best technology American innovation can offer and is building great products for this mission. Vannevar Labs was founded in 2019 and is headquartered in Palo Alto, California.",Active,For Profit,Series B,Women Founded,2019-04-22,day,"Aerospace, Artificial Intelligence, GovTech, National Security, Software"
Beta Technologies,https://www.crunchbase.com/organization/beta-technologies-1ecd,"South Burlington, Vermont, United States","Beta Technologies designs and develops electric aircraft including advanced flight control and electric propulsion systems, with a focus on clean aviation technology. Beta designs a self-sufficient eVTOL aircraft ecosystem that satisfies the needs of humans, embraces the laws of nature, and works in harmony with the planet. Beta Technologies simplifies and amplifies access to the vertical dimension of mobility.",Active,For Profit,Series B,,2017-04-01,day,"Aerospace, Air Transportation, CleanTech, Manufacturing"
Capella Space,https://www.crunchbase.com/organization/capella-space,"San Francisco, California, United States","Capella Space is an information services company that provides on-demand 50cm high-resolution synthetic aperture radar (SAR) Earth observation imagery. Through a constellation of small satellites, Capella provides easy access to frequent, timely and flexible information affecting dozens of industries worldwide. Capella's high-resolution SAR satellites are matched with unparalleled infrastructure to deliver reliable global insights that sharpen our understanding of the changing world – improving decisions about commerce, conservation and security on Earth. Learn more at www.capellaspace.com. The company aims to make timely Earth observation an essential tool for commerce, conservation, and well-being. Capella Space was founded in 2016 and based in San Francisco, California.",Active,For Profit,Venture - Series Unknown,,2016-01-01,year,"Aerospace, Geospatial, Image Recognition, Information Services"
Hermeus,https://www.crunchbase.com/organization/hermeus,"Atlanta, Georgia, United States","Hermeus is developing Mach 5 aircraft to speed up the global transportation network.  Mach 5 flight is not just supersonic, it's hypersonic. At these speeds, a flight from New York to London is 90 minutes, rather than 7 hours. Its aircraft massively reduces flight times and increases safety for the long haul and business class air travel, enabling businesses to operate with minimal changes to current aviation infrastructure. The company was founded in 2018 and headquartered in Atlanta, Georgia.",Active,For Profit,Series B,,2018-11-01,month,"Aerospace, Air Transportation, Infrastructure, Travel"
CesiumAstro,https://www.crunchbase.com/organization/cesiumastro,"Austin, Texas, United States","CesiumAstro delivers communication systems for satellites, UAVs, launch vehicles, and other space or airborne platforms. Each of the company's products combines carefully selected COTS components with the traditional reliability necessary for aerospace systems. Its products enable connectivity between satellites, drones, planes, cars, and other mobile devices and generate electronically steerable beams of radio waves carrying information between the devices, and its software stitches the information together.",Active,For Profit,Series B,,2017-01-01,year,"Aerospace, Drones, Satellite Communication, Space Travel"
Lunar Outpost,https://www.crunchbase.com/organization/lunar-outpost,"Golden, Colorado, United States","Lunar Outpost creates technologies that enable a sustainable presence in cislunar space while driving a positive impact here on Earth. With product lines focused on robotics and advanced instrumentation Lunar Outpost has helped create the first oxygen on Mars as part of the Perseverance mission, has the first ever contract to sell space resources (specifically lunar resources) to NASA, and has successfully created product line from advanced technology work. Key products include the commercial lunar rover MAPP that can provide mobility to a variety of payloads on the lunar surface, and the Canary Air Quality and Monitoring System, an IoT system, which has collected over 20 Billion unique data points to date in over 20 different states.[",Active,For Profit,Seed,,2017-01-01,year,"Aerospace, Information Technology, Robotics"
Universal Hydrogen,https://www.crunchbase.com/organization/universal-hydrogen,"Hawthorne, California, United States","Universal Hydrogen is dedicated to making hydrogen aviation a near-term reality. The company is building a hydrogen ecosystem for aviation through strategic partnerships and new technologies for hydrogen distribution and propulsion. Universal Hydrogen was founded in 2020 and is based in Hawthorne, CA.",Active,For Profit,Corporate Round,"Black / African American Founded, East Asian Led",2020-01-01,year,"Aerospace, CleanTech, Energy, Infrastructure, Logistics"
ABL Space Systems,https://www.crunchbase.com/organization/abl-space-systems,"El Segundo, California, United States","ABL Space Systems was founded by former SpaceX engineering leaders in 2017 to develop low-cost launch vehicles for the small satellite industry. ABL is headquartered in El Segundo, California, where it has 30,000 square feet of facilities for research, development, and production. ABL is a privately-owned corporation backed by a premier group of private equity investors",Active,For Profit,Series B,,2017-08-01,month,"Aerospace, Information Technology, Satellite Communication"
BRINC,https://www.crunchbase.com/organization/brinc-drones,"Seattle, Washington, United States","BRINC is an aerospace company that builds technology in the service of public safety. The company develops highly-reliable systems with the advanced ability to fly indoors and provide 2-way communication, to protect first responders, citizens, and communities. Its products are deployed by over 250 public safety agencies globally to initiate contact without force and save lives. BRINC was established in 2017 and is headquartered in Seattle, Washington.",Active,For Profit,Series B,,2017-01-01,year,"Aerospace, Drones, Military, Public Safety, Robotics"
Avelo Airlines,https://www.crunchbase.com/organization/avelo-airlines,"Houston, Texas, United States","Avelo Airlines offers customers time and money-saving convenience, low everyday fares, and a smooth and caring experience through its Soul of Service culture. Avelo Airlines operates a fleet of Boeing Next-Generation 737 aircraft and currently serves 27 popular destinations across the U.S., including its three bases at Los Angeles' Hollywood Burbank Airport (BUR), Southern Connecticut's Tweed-New Haven Airport (HVN), and Orlando International Airport (MCO).",Active,For Profit,Series B,,2020-01-01,year,"Air Transportation, Public Transportation, Travel"
Merlin Labs,https://www.crunchbase.com/organization/merlin-labs,"Boston, Massachusetts, United States","Merlin Labs is building an autonomous infrastructure for the sky above us, enabling goods and eventually people, to fly without pilots. It specializes in the fields of software, transportation, and information technology. The company was founded in 2018 and is headquartered in Boston, Massachusetts.",Active,For Profit,Series B,,2018-01-01,year,"Air Transportation, Information Technology, Software, Transportation"
Skyryse,https://www.crunchbase.com/organization/skyryse,"El Segundo, California, United States","Skyryse has developed a hardware and software operating system, FlightOS, to power all general aviation (GA) aircraft, enabling safer, more capable, and more accessible flight.  FlightOS is a common interface for pilots to be able to operate any aircraft - rotorcraft or fixed-wing - with the same controls, substantially reducing pilot fatigue and complexity while offering a step function improvement in flight safety and emergency management.  With tens of hours of training, any pilot can safely fly any aircraft regardless of its engine/wing/rotor configuration, either from the cockpit or remotely. Founded in 2016, the company is headquartered in Los Angeles, California, United States.",Active,For Profit,Series B,,2016-01-01,year,"Aerospace, Air Transportation, Internet, Transportation"
Reliable Robotics Corporation,https://www.crunchbase.com/organization/reliable-robotics,"Mountain View, California, United States","Reliable Robotics was founded by Robert Rose and Juerg Frefel in 2017 to bring certified autonomous vehicles to commercial aviation as soon as possible. The company’s automation system enables remote operation of any aircraft type and will expand access to more locations. Reliable’s vision is to transform the way we move goods and people around the planet with safer, more convenient and more affordable air transportation. The company is headquartered in Mountain View, California and has a distributed global workforce.",Active,For Profit,Series C,,2017-01-01,year,"Air Transportation, Autonomous Vehicles, Industrial Automation, Information Technology, Logistics"
X-Bow Launch Systems,https://www.crunchbase.com/organization/x-bow-launch-systems,"Huntsville, Alabama, United States",X-Bow Launch Systems is dedicated to providing affordable access to orbit for commercial and government payloads.,Active,For Profit,Grant,,2016-01-01,year,"Aerospace, Internet"
Gordian Software,https://www.crunchbase.com/organization/gordian-software,"Bellevue, Washington, United States","Gordian Software builds APIs that enable the world's leading travel organizations to increase revenue. Gordian’s customers include Priceline, Hopper, Trip.com, and many more leading global travel agencies and management companies. Gordian supports over 100 airlines including partnerships with Lufthansa Group, United Airlines, and Singapore Airlines. Gordian has grown rapidly, including 3.5x revenue growth in H1 2022 and serves more than 60 million passengers per month. Launched in 2017, Gordian is backed by Y Combinator, Accomplice, Vinyl, Kinnevik, DST Global Partners, Latitude, and Naval Ravikant. Gordian’s growth is powered by its core values of Freedom, Impact, and Ownership. From 3 day sprints to our remote-friendly 7+1 onsites, each of our 30+ teammates are empowered to do their best work. Gordian is headquartered in Bellevue, WA. For more information, visit gordiansoftware.com",Active,For Profit,Series A,,2017-01-01,year,"Air Transportation, Developer APIs, Reservations, SaaS, Software, Travel"
Airspace Link,https://www.crunchbase.com/organization/airspace-link,"Detroit, Michigan, United States","Airspace Link digitizes local airspace for urban air mobility. It provides government, citizen, and business drone solutions to support local government airspace management, fostering citizen empowerment, and business innovation through consumer and b2b air logistical support and services. It was founded in 2018 and is based in Detroit, Michigan.",Active,For Profit,Series B,Women Founded,2018-03-28,day,"Aerospace, Drone Management, Geospatial, Government, Mapping Services"
Umbra,https://www.crunchbase.com/organization/umbra-lab-inc,"Santa Barbara, California, United States","We design, build, launch, and operate satellites for high resolution Earth observation, new communications capabilities, and exquisite signal monitoring for low cost distribution via an integrated web platform.",Active,For Profit,Series B,,2015-01-01,year,"Aerospace, Geospatial, Image Recognition, Information Technology, Satellite Communication, Software"
Portside,https://www.crunchbase.com/organization/portside-inc,"San Francisco, California, United States","Portside is an aircraft data, reporting, and analytics platform for individual and corporate plane owners. The company's cloud-based product suite brings cutting-edge technology to the global business aviation industry, supporting a wide range of flight operations in more than 30 countries, including charter, fractional, corporate, medical, industrial, government, military, and cargo aircraft and helicopter operators. Its modern product suite allows aviation operators to enhance their operations to maximize revenue and profits.",Active,For Profit,Series B,,2017-09-01,day,"Aerospace, Air Transportation, Analytics, Software, Transportation"
Orbital Sidekick,https://www.crunchbase.com/organization/orbital-sidekick,"San Francisco, California, United States","Orbital Sidekick utilizes satellite-based hyperspectral technology - capturing hundreds of narrow contiguous spectral bands, from visible light through infrared - to help commercial and government organizations meet their sustainable operations, ESG, and security goals. Its satellite constellation supplies fast, efficient hyperspectral intelligence from anywhere on the planet.",Active,For Profit,Venture - Series Unknown,,2016-01-01,year,"Aerospace, Information Technology, Satellite Communication"
Pyka,https://www.crunchbase.com/organization/pyka,"Oakland, California, United States","At Pyka we develop autonomous electric aircraft to provide people with an affordable and safe air transport option for regional trips. We're building a future where everyone can visit a friend, partner, family member, or colleague in a nearby city by air --- where the trip is a beautiful, traffic-free, and environmentally responsible adventure.   To get there, we’re taking a different approach than most. We're applying our technologies to every industry where electric aircraft can be useful, starting with the highest value and most dangerous jobs. In doing so, we're building useful, game-changing products manufactured at scale, while perfecting the safety, reliability, and capabilities of our autonomy engine and electric propulsion systems.",Active,For Profit,Series A,Black / African American Founded,2017-02-13,day,"Aerospace, Air Transportation, Autonomous Vehicles, Robotics"
Overair,https://www.crunchbase.com/organization/overair,"Santa Ana, California, United States","Overair designs, develops, and manufactures electric vertical takeoff and landing (eVTOL) aircraft. It is used for air taxi and aerial mobility operations.  The company was founded in 2019 and is based in Santa Ana, California.",Active,For Profit,Series B,,2019-01-01,year,"Aerospace, Air Transportation, Electric Vehicle, Manufacturing"
Atomos Space,https://www.crunchbase.com/organization/atomos-nuclear-and-space,"Denver, Colorado, United States","Atomos Space is an aerospace company building and developing orbital transfer vehicles and space nuclear technology. The company's vehicles provide maneuverability and a sustainable orbital environment, allowing satellite operators to reduce their costs to reach their destination in space. The company was founded in 2018 and is based in Denver, Colorado.",Active,For Profit,Venture - Series Unknown,"Women Founded, Women Led",2018-01-01,month,"Aerospace, Logistics, Nuclear, Robotics, Space Travel"
Xwing,https://www.crunchbase.com/organization/xwing,"San Francisco, California, United States","Xwing was founded in 2016 to make air transportation smarter, safer, cleaner, and more accessible for everyone. Our work begins with converting today’s cargo aircraft into fully autonomous airplanes so every person in the world can have greater access to reliable and affordable delivery services no matter where they live. Beyond air cargo, we look forward to expanding our technology safely, scalably, and sustainably to other areas of commercial aviation. Fast Company recently named us one of the Most Innovative Transportation Companies of 2021 and a 'World Changing Idea' in 2022. We were also featured on TIME Magazine’s 2021 Best Inventions List after completing the world’s first fully autonomous cargo flight and making aviation history.",Active,For Profit,Convertible Note,,2016-01-01,year,"Aerospace, Industrial Engineering, Software"
First Resonance,https://www.crunchbase.com/organization/first-resonance,"Los Angeles, California, United States","First Resonance is developing a manufacturing software platform for modern manufacturers. Its factory operating system accelerates manufacturing and tracks parts and processes from prototype to full-scale production. The company was founded in 2018 and is headquartered in Los Angeles, California.",Active,For Profit,Series A,,2018-07-01,month,"Aerospace, Industrial Automation, Manufacturing, Operating Systems, Software"
Relativity Space,https://www.crunchbase.com/organization/relativity-space,"Long Beach, California, United States","Relativity Space is an aerospace company that designs, develops, and builds 3D-printed rockets. a vertically integrated technology platform, Relativity is at the forefront of an inevitable shift toward software-defined manufacturing by fusing 3D printing, artificial intelligence, and autonomous robotics. It offers a radically simplified supply chain, building a rocket with 100x fewer parts in less than 60 days. Relativity Space is backed by leading investors including Bond, Tribe Capital, Playground Global, Y Combinator, Social Capital, and Mark Cuban.",Active,For Profit,Secondary Market,,2015-01-01,year,"3D Technology, Aerospace, Artificial Intelligence, Manufacturing"
Fortem Technologies,https://www.crunchbase.com/organization/fortem-technologies,"Pleasant Grove, Utah, United States","Fortem Technologies is an innovative leader in AI-enabled airspace security and safety. The company provides real-time intrusion detection and detect-and-avoid solutions. Fortem delivers a military-tested, commercially available solution that alerts, identifies and classifies drones and other unmanned aircraft vehicles (UAVs). A Silicon Valley venture funded company that delivers innovative technologies to enable safe autonomous airborne operations, Fortem Technologies’ proven solutions allow organizations to transition their unmanned aircraft operations beyond visual line of sight (BVLOS). The company is privately held and backed by multiple investors.",Active,For Profit,Venture - Series Unknown,,2016-01-01,year,"Aerospace, Air Transportation, Autonomous Vehicles, Drone Management, Mechanical Engineering"
Venus Aerospace,https://www.crunchbase.com/organization/venus-aerospace,"Houston, Texas, United States","Founded in 2020, Venus Aerospace is a startup aerospace company focused on engineering the future of hypersonic flight. We are making one-hour global transport possible to connect the world and make it safer. We are an expert team of PhD’s, rocket scientists, and engineers taking on the biggest challenges in aerospace at Mach 9 speed. We also take pride in being moms and dads, military veterans, and BBQ enthusiasts who make it #HomeForDinner.",Active,For Profit,Series A,"Women Founded, Women Led",2020-01-01,year,"Aerospace, Product Research, Transportation"
Astra,https://www.crunchbase.com/organization/astra-b6dc,"Alameda, California, United States",Astra is a rocket launch startup that provides satellite delivery and launch services. It offers online reservations for payload deliveries to both sun-synchronous and low-inclination orbits. Astra also offers dedicated launch services of 50kg-150kg payloads to 500km SSO reference orbit in 2020 and 2021.,Active,For Profit,Post-IPO Equity,,2016-01-01,year,"Aerospace, Satellite Communication, Space Travel"
Near Space Labs,https://www.crunchbase.com/organization/near-space-labs,"Brooklyn, New York, United States","Near Space Labs is an aerial imagery and earth observation company, Near Space Labs' imagery makes it easy to monitor assets and gain remote access over broad or specific areas.  Near Space Labs offers cloud-based delivery of fully processed images through its API. The company provides frictionless, affordable imaging for insurance, utilities, infrastructure, conservation, smart cities, retail, energy, government, and disaster response.",Active,For Profit,Series A,"Women Founded, Women Led",2017-10-01,month,"Aerospace, Computer Vision, Geospatial, Robotics, Software"
Xplore,https://www.crunchbase.com/organization/xplore,"Redmond, Washington, United States","Xplore is flying commercial missions in Earth orbits with their XCRAFT™, and they invite them to join. They take civilian, commercial and national security payloads to their desired orbit around Earth for their science or reconnaissance missions.",Active,For Profit,Series A,Women Founded,2017-01-01,year,"Aerospace, Commercial, Robotics"
Starfish Space,https://www.crunchbase.com/organization/starfish-space,"Seattle, Washington, United States","Starfish Space builds small space tugs to provide an on-demand in-space transportation service. The company's space tug can perform a variety of satellite servicing missions. These include life extension, relocation, disposal, inspection, and more. Starfish Space was established in 2018 in Seattle, Washington by Austin Link and Trevor Bennett.",Active,For Profit,Series A,,2018-01-01,year,"Aerospace, Space Travel, Transportation"
Skydweller,https://www.crunchbase.com/organization/skydweller,"Alexandria, Virginia, United States","Skydweller is a US-Spanish aerospace company developing solar powered aircraft solutions capable of achieving perpetual flight with the highest—and most meaningful—payload capacity. Utilizing technology based upon the longest continuous solar powered flight program in history, our fast-growing startup is developing a new class of unmanned aircraft, providing the persistence of geosynchronous satellites with the powerful sensing capabilities and range of a large, airborne platform.",Active,For Profit,Series A,,2017-07-01,day,"Aerospace, Drones, Geospatial, Government, GovTech, Telecommunications"
