Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
B612 Foundation,https://www.crunchbase.com/organization/b612-foundation,"Mill Valley, California, United States","The B612 Foundation is a 501(c)3 non-profit charitable organization started by a group of notable scientists, including two former NASA astronauts. Our vision is to harness the power of science and technology to protect the future of our planet, while extending our reach into the solar system. Our name was inspired by the famed children’s book by Antoine de Saint-Exupéry.",Active,For Profit,Grant,,2002-01-01,year,"Aerospace, Charity, Environmental Engineering, Non Profit"
Cornerstone Research Group,https://www.crunchbase.com/organization/cornerstone-research-group,"Miamisburg, Ohio, United States","CRG is a high-technology company delivering products and services to their aerospace, defense and industrial customers. Their scientists, engineers and production teams redefine what is possible to deliver innovative solutions with the support of a network of hundreds of leading technology providers. Since 1997, their multidisciplinary team has successfully tackled their customers’ most challenging problems with discipline, creativity and flexibility. This has resulted in CRG being recognized as a leader in innovation, in technology commercialization and in providing a work environment that is deeply rewarding.",Active,For Profit,Grant,,1997-01-01,year,"Aerospace, Industrial"
InnoSense,https://www.crunchbase.com/organization/innosense,"Torrance, California, United States","InnoSense is a driven engineering company that provides services for the defense, aerospace, energy, health care, and industrial markets.",Active,For Profit,Grant,,2002-01-01,year,"Aerospace, Chemical Engineering, Health Care, Service Industry"
Starfighters,https://www.crunchbase.com/organization/starfighters,"Tarpon Springs, Florida, United States","Starfighters Aerospace operates an aviation service aimed at providing an efficient asset to support the aerospace industry. Its services include captive payload and test article transportation, microgravity experiments, spaceflight hardware testing or qualification, suborbital spaceflight simulation, air-launch of microsatellites, human factors and flight physiology research, and avionics testing or qualification, allowing clients to have efficient aviation services.",Active,For Profit,Undisclosed,,1995-01-01,year,"Aerospace, Industrial, Space Travel"
American Aerospace,https://www.crunchbase.com/organization/american-aerospace,"Bridgeport, Pennsylvania, United States","American Aerospace™ is an unmanned aircraft systems (UAS) company that integrates and operates long endurance UAS to provide actionable data and information to commercial public entity customers -- safely, efficiently and in full compliance with FAA regulations.",Active,For Profit,Seed,,2002-01-01,year,"Aerospace, Energy, Industrial, Information Technology, Real Time"
Scorpius Space Launch Company,https://www.crunchbase.com/organization/scorpius-space-launch-company,"Torrance, California, United States","Scorpius Space Launch Company is a private space launch company that provides space launch vehicles and components for space missions. It specializes in producing low-cost space launch vehicles and providing affordable on-demand space launch services. SSLC draws on substantial know-how from the parent company, as it has been specializing in reducing space mission costs since 1984 with specific expertise in designing commercial, military, and scientific missions from small, low-cost programs to multi-billion dollar, multi-satellite constellations, and a family of launch vehicles. Specialization in all-composite high-pressure cryogenic tank manufacturing for space. It was founded in 1999 and is based in Torrance, California.",Active,For Profit,Seed,,1999-01-01,year,"Aerospace, Mechanical Engineering, Transportation"
Quatro Composites,https://www.crunchbase.com/organization/quatro-composites,"Orange City, Iowa, United States","Quatro Composites is a contract component manufacturer and developer, offering a full line of services from design, analysis, prototyping, and production of advanced composite structures. Quatro specializes in design optimization of highly loaded structures for weight, strength, and stiffness, using the latest in structural optimization software and technology.",Active,For Profit,Venture - Series Unknown,,1997-01-01,year,"Aerospace, Machinery Manufacturing, Manufacturing"
Northwest Arkansas Regional Airport,https://www.crunchbase.com/organization/northwest-arkansas-regional-airport,"Bentonville, Arkansas, United States",Northwest Arkansas Regional Airport provides operating and maintenance services. They provide services for commercial passengers and the public. An online inquiry form is available on the company's website.,Active,For Profit,Grant,,1998-01-01,year,Aerospace
Sigenics,https://www.crunchbase.com/organization/sigenics,"Chicago, Illinois, United States","Sigenics was established in December 2000 with one purpose in mind: to provide excellence in silicon. In the beginning, Sigenics’ goal was to develop silicon devices to aid in biomedical research.  We have grown to become a designer and supplier of “private-label” silicon chips for Original Equipment Manufacturers (OEM) of electronic equipment in multiple markets including: medical, aerospace, industrial, and military.",Active,For Profit,Grant,,2000-01-01,year,"Aerospace, Biotechnology, Electronics, Medical, Professional Services"
"Inertial Labs, Inc.",https://www.crunchbase.com/organization/inertial-labs,"Paeonian Springs, Virginia, United States","Inertial Labs is a designer, developer, and manufacturer of commercial, ITAR-free ECCN 7A994 classification motion control, position and orientation tracking systems, based on the combination of inertial sensors with a variety of other sensing technologies. With specific engineering expertise that includes the development of Fluxgate magnetometers, 1 deg/hr grade gyroscopes and few micro g accelerometers technologies, gyro-compass systems, optically enhanced and sensors fusion solutions; Inertial Labs engineers combine practical experience with PhD level academic knowledge.",Active,For Profit,Seed,,2001-01-01,year,"Aerospace, Autonomous Vehicles, Electronics, Geospatial, GPS, Manufacturing, Navigation"
JetBlue Airways,https://www.crunchbase.com/organization/jetblue-airways,"Long Island City, New York, United States","JetBlue is a customer service channel for Major United States Airline based in Queens, New York. It is a passenger airline that operates primarily on point-to-point routes with its fleet of 120 Airbus A320 aircraft and 49 EMBRAER 190 aircraft.  As of December 31, 2011, it served 70 destinations in 22 states, Puerto Rico, Mexico and 12 countries in the Caribbean and Latin America. Most of JetBlue flights have as an origin or destination New York or one of its other focus cities: Boston, Fort Lauderdale, Los Angeles, Orlando or San Juan, Puerto Rico. As of December 31, 2011, the Company operated an average of 700 daily flights. During the year ended December 31, 2011, the Company acquired eight take-off and landing slots at each of New York’s LaGuardia Airport and Washington D.C.’s Ronald Reagan National Airport. The Company’s operations primarily consist of transporting passengers on its aircraft with domestic United States operations, including Puerto Rico, which accounted for 85% of its capacity in 2011.",Active,For Profit,,,1998-08-01,month,"Air Transportation, Transportation"
NSA,https://www.crunchbase.com/organization/nsa-2,"Charlotte, North Carolina, United States","NSA is a nuclear safety and licensing services platform. NSA is a provider of safety, security, information technology, and engineering services to the North American nuclear markets. Their quality assurance program meets the requirements of numerous domestic and international standards, has successfully passed four NQA-1 audits since January 2012, and provides a strong foundation for self-directed project offerings.",Active,For Profit,,,2001-01-01,year,"Aerospace, Cyber Security, Information Technology"
Aegis Software,https://www.crunchbase.com/organization/aegis-software,"Horsham, Pennsylvania, United States","Aegis Software is the leading provider of innovative software solutions to improve speed, control and visibility throughout manufacturing operations. Founded in 1997 by two manufacturing engineers, Aegis has over 17 years of experience providing world-class software to customers around the globe. Our install base spans more than 1700 factory sites across the electronics, medical, automotive, military and aerospace industries. Aegis is your turn-key solution provider with direct staff and operations in China, Germany, Japan, Singapore, UK and the US. Our organization develops, deploys and supports our solutions in-house, eliminating third-parties and providing customers with faster support and a better solution, in less time and at a lower cost. For over a decade, Aegis has maintained more resale and technology integration partnerships with leading machine vendors than any other software provider. Today Aegis is partner to 36 machine vendors. These partnerships provide customers the best offline programming and real-time data acquisition systems possible. We are also the proud recipient of over 20 industry awards, including being named the Frost & Sullivan SMT Software Company of the Year, and winner of 12 straight independent customer satisfaction awards from Circuits Assembly Magazine. Learn more about our company below:",Active,For Profit,,,1997-01-01,year,"Aerospace, Big Data, Enterprise Software, Industrial Manufacturing, Information Technology, Internet of Things, Manufacturing, Medical Device, Software"
Sterling Consolidated,https://www.crunchbase.com/organization/sterling-consolidated,"Neptune, New Jersey, United States","Sterling Consolidated Corp., through its subsidiary, Sterling Seal and Supply Inc., engages in the distribution and sale of O-rings and other rubber products worldwide. It provides O-rings, rubber seals, oil seals, custom molded rubber parts, custom Teflon parts, Teflon rods, O-ring cords, bonded seals, O-ring kits, and stuffing box sealant products for use in automotive, pump, transmissions, oil and energy, machinery, and packaging industries. The company sells its products directly to smaller distributors and original equipment manufacturers. It is also involved in the property rental activities. The company was formerly known as Oceanview Acquisition Corp. and changed its name to Sterling Consolidated Corp. in May 2012. Sterling Consolidated Corp. was founded in 1997 and is headquartered in Neptune, New Jersey.",Active,For Profit,Post-IPO Debt,,1997-01-01,year,"Aerospace, Automotive, Industrial, Manufacturing"
TECT Aerospace,https://www.crunchbase.com/organization/tect-aerospace,"Wichita, Kansas, United States",,Active,For Profit,,,1995-01-01,year,"Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management"
Carlyle Aviation Partners,https://www.crunchbase.com/organization/apollo-aviation-group,"Miami, Florida, United States","Carlyle Aviation Partners is a multi-strategy alternative investment firm specializing in commercial aviation investing. The firm invests in mid-life and mature commercial aircraft and engines. The group operates several private equity funds in respect of its commercial aircraft leasing and part-out investment strategy. In 2013, it introduced AAG Capital Markets LLC which invests in aviation-related securities through hedge funds, long-only funds, and separately managed accounts.",Active,For Profit,,,2002-01-01,year,"Air Transportation, Banking, Finance"
Satcom Direct,https://www.crunchbase.com/organization/satcom-direct,"Melbourne, Florida, United States","Satcom Direct (SD) and its group of companies provides global connectivity solutions for business and general aviation, military, government, and head-of-state aircraft. The company also provides land mobile services to areas with connectivity limitations. Since 1997, SD has worked to advance the technology of global connectivity, being first to market with many new capabilities in communications. SD’s industry-leading connectivity solutions are complemented by its divisional capabilities, including SD Avionics cabin router systems and SD flight operations software. The company’s next generation of services help to synchronize the aircraft with the flight department, connecting the entire flight operation. SD’s technologies provide the most powerful integrated data platform in the industry.",Active,For Profit,,,1997-01-01,year,"Aerospace, Air Transportation, Cyber Security, Electronics, Hardware, Marine Technology, Satellite Communication, Software, Telecommunications"
Millennium Space Systems,https://www.crunchbase.com/organization/millenium-space-systems,"El Segundo, California, United States","Millennium Space Systems, a provider of agile, flight-proven small-satellite solutions. The company has developed high-performance satellites for exacting missions ranging from 50 KG to more than 6,000 KG. ",Active,For Profit,,,2001-01-01,year,"Aerospace, Space Travel"
Cloud Cap Technology,https://www.crunchbase.com/organization/cloud-cap-technology,"Hood River, Oregon, United States","Cloud Cap Technology provides autonomous Unmanned Aircraft Systems (UAS).  They also specialize in stabilized camera gimbals applicable to both unmanned and manned safety, surveillance, and resource applications. Their small inertial measurement sensors supports a range of robotics applications.",Active,For Profit,,,1999-01-01,year,"Aerospace, Hardware, Sensor"
Sentient Jet,https://www.crunchbase.com/organization/sentient-jet,"Braintree, Massachusetts, United States","Sentient, headquartered in Norwell, MA, is the premier jet membership  provider, offering premium executive class aircraft with a guaranteed response  time anywhere in the United States in five hours or less. With an elite  network of Part 135, ARG/US-audited jets located around the country, Sentient  is the flexible, safe and economically prudent alternative in private jet  travel.",Active,For Profit,,,1999-01-01,year,"Aerospace, Air Transportation, Service Industry"
Trax,https://www.crunchbase.com/organization/trax-usa-corp,"Miami, Florida, United States","TRAX is an aviation maintenance, repair, and operations services provider with Airlines, for Airlines, to provide the most comprehensive and advanced maintenance software solution available in the industry.",Active,For Profit,,,1999-01-01,year,"Air Transportation, Enterprise Resource Planning (ERP), Fleet Management, Software"
PartsBase,https://www.crunchbase.com/organization/partsbase,"Boca Raton, Florida, United States","PartsBase, Inc. owns and operates an aviation marketplace and community. The company’s marketplace provides access to search and find parts and services related to the aviation industry. It helps to list inventory items; search for lines of aviation and aerospace parts; search for repair/overhaul capabilities; and uncover market opportunities through the government data research tool, as well as provides advertising services for companies through its online advertisements. It serves operators, MROs, and OEM customers worldwide. PartsBase, Inc. was formerly known as Partsbase.Com Inc. and changed its name to PartsBase.",Active,For Profit,,,1996-01-01,year,"Advertising, Aerospace, Retail"
Space.com,https://www.crunchbase.com/organization/space-com,"New York, New York, United States","Space.com is the premier source of space exploration, innovation and astronomy news, chronicling (and celebrating) humanity's ongoing expansion across the final frontier. We transport our visitors across the solar system and beyond through accessible, comprehensive coverage of the latest news and discoveries. For us, exploring space is as much about the journey as it is the destination. So from skywatching guides and stunning photos of the night sky to rocket launches and breaking news of robotic probes visiting other planets, at Space.com you'll find something amazing every day. Space.com was acquired by Future plc in 2018.",Active,For Profit,Venture - Series Unknown,,1999-07-20,day,"Aerospace, Content, Content Delivery Network, Education, Edutainment, Journalism, News, Space Travel, STEM Education, Video Streaming"
Zodiac Inflight Innovations,https://www.crunchbase.com/organization/zodiac-inflight-innovations,"Brea, California, United States",Zodiac Inflight Innovations develops in-flight entertainment systems and connectivity systems for the airline industry worldwide. ,Active,For Profit,,,1996-01-01,year,Aerospace
Lone Star Aerospace,https://www.crunchbase.com/organization/lone-star-aerospace,"Addison, Texas, United States","Improve operational performance, monetary savings and risk reduction via analysis with deep industry knowledge and  the most sophisticated tools and data available.  Lone Star offers critical awareness of essential market, segment and customer knowledge through competitive influenced uptake simulations, probability-of-win analysis and other competitive insight. Conscience understanding of the true “Price-to-Win”, critical competitive performance thresholds, strategic execution elements and other operational choices.  Identifies the true quantification of the financial impact and degree of risk associated with actions or events for organizations and programs. Lone Star provides Price-to-Win solutions that are integral to the strategic capture and business development process by delivering high confidence answers at critical gate reviews. Cornerstone technology is Tru Navigator, a 4th generation decision support tool designed to address virtually any problem, and especially excels at addressing problems with significant analytical and organizational complexity.",Active,For Profit,Private Equity,,2001-01-01,year,"Aerospace, Consulting, Risk Management, Software"
Atlas Air,https://www.crunchbase.com/organization/atlas-air,"Purchase, New York, United States",Atlas Air engages in providing outsourced aircraft and aviation operating solutions. They offers turnkey air cargo solutions that keep business moving nonstop.,Active,For Profit,,,2001-01-01,year,"Aerospace, Air Transportation, Freight Service"
Torch Technologies,https://www.crunchbase.com/organization/torch-technologies,"Huntsville, Alabama, United States","Torch Technologies, Inc. provides scientific and engineering support services to defense and other industries. It offers information technology, logistics, modeling and simulation, program support, software development, systems engineering, technology development and prototyping, and test and evaluation services. Torch Technologies, Inc. was founded in 2002 and is headquartered in Huntsville, Alabama.",Active,For Profit,Seed,,2002-01-01,year,"Aerospace, Automotive, Computer, Electronics, Information Technology, National Security, Robotics, Software"
LiveTV,https://www.crunchbase.com/organization/livetv,"Melbourne Beach, Florida, United States","LiveTV is the world's leading provider of live in-flight entertainment and connectivity systems for commercial airlines. Founded in 1998 in Melbourne, Florida, LiveTV has maintenance and support locations around the world to serve the more than 700 aircraft equipped with its products. Current customers include JetBlue, Frontier, AirTran, Alitalia, Virgin Blue, WestJet and Azul.",Active,For Profit,,,1998-01-01,year,"Aerospace, In-Flight Entertainment, Software, Travel, Video"
EmpowerMX,https://www.crunchbase.com/organization/empowermx,"Frisco, Texas, United States","EmpowerMX is an industry-acclaimed, US-based software development and consulting-services business staffed by an international team of aviation maintenance, IT, business analysis, and product support experts. They are purely focused on helping their customers reduce their costs of improving aviation safety. EmpowerMX helps keep their customers’ diverse aircraft fleets in the air with their innovative FleetCycle ERP software solutions, expert advice from their M&E and IT consultants, and their back-office business process outsourcing (BPO) services. By employing their products and services to simplify and streamline the complexities of their aircraft-maintenance processes, their current customers have quickly realized dramatic increases in application “up” times, spectacular improvements in aircraft turn times, and significant reductions in production costs.",Active,For Profit,Private Equity,,1999-01-01,year,"Aerospace, Consulting, Industrial, Software"
ThinKom Solutions,https://www.crunchbase.com/organization/thinkom-solutions,"Hawthorne, California, United States","ThinKom Solutions manufactures low-profile antennas engineered expressly for high-speed connectivity in the most harsh, remote and mobile environments. On a fuselage, in a backpack or mounted on a vehicle, our antennas enable satellite service providers to deliver reliable broadband to millions of users, while minimizing OpEx and maximizing efficiencies across the board.",Active,For Profit,,,2000-01-01,year,"Aerospace, Manufacturing, Test and Measurement"
Prime Air,https://www.crunchbase.com/organization/prime-air,"Skokie, Illinois, United States",,Active,For Profit,,,1995-01-01,year,"Aerospace, Manufacturing, Sales"
Space Adventures,https://www.crunchbase.com/organization/space-adventures,"Vienna, Virginia, United States","Space Adventures has arranged all eight of the spaceflights completed by private citizens to date. Our Orbital Spaceflight clients have flown on the Russian Soyuz spacecraft to the International Space Station where they have lived for up to 12 days. In total our clients have spent nearly 90 days in space, and traveled over 40 millions miles. Our previous spaceflight clients include Cirque du Soleil founder Guy Laliberte, Microsoft software architect Dr. Charles Simonyi, and famed computer game developer Richard Garriott.  In addition to Orbital Spaceflight, we also offer:  - a Circumlunar Spaceflight Mission which will carry two private citizens around the far side of the moon;  - Suborbital Spaceflight Program where you will be able to soar to 100km, see the curvature of the Earth and the blackness of space;  - ZERO-G Weightless flights where you can experience true weightlessness on board our specially modified Boeing 727.  If you dream of one day flying to space yourself, Space Adventures is the company you should contact now!",Active,For Profit,Angel,,1998-01-01,year,"Adventure Travel, Aerospace, Software, Space Travel, Tour Operator, Travel"
Nanocerox,https://www.crunchbase.com/organization/nanocerox,"Ann Arbor, Michigan, United States","Nanocerox, Inc. produces mixed-metal oxide spherical nanopowders. The company offers indium tin oxide, spinel, and yttrium aluminum garnet nanopowders. Its products have applications in various areas, including military armor, paint pigments, lighting components, and sensors.  The company was founded in 1996 under the name TAL Materials and changed its name to Nanocerox, Inc. in 2004. Nanocerox, Inc. is based in Ann Arbor, Michigan.",Active,For Profit,Grant,,1996-01-01,year,"Aerospace, Chemical, Manufacturing"
Bigelow Aerospace,https://www.crunchbase.com/organization/bigelow-aerospace,"North Las Vegas, Nevada, United States","Bigelow Aerospace is a destination-oriented company with a focus on expandable systems for use in a variety of space applications.  These NASA heritage systems provide for greater volume, safety, opportunity and economy than the aluminum alternatives. These NASA heritage systems provide for greater volume, safety, opportunity and economy than the aluminum alternatives. Headquartered in North Las Vegas, Nevada, Bigelow’s mission is to provide affordable destinations serving many diverse uses and customers, whether those destinations are located in low Earth orbit, deep space or on a foreign body.",Active,For Profit,,,1999-01-01,year,"Aerospace, Space Travel"
Deep Space Systems,https://www.crunchbase.com/organization/deep-space-systems,"Littleton, Colorado, United States","Deep Space Systems design, development, integration, testing, and operations of science, technology, and exploration spacecraft. The Company's products range from integrated spacecraft to fully qualified space components to ground support equipment and software. Its advanced engineering capabilities include design and analysis of space systems and subsystems including Structures, Mechanisms, Propulsion, Power, Thermal, Telecommunications, Avionics, Optical, and Instrumentation systems.",Active,For Profit,,,2001-01-01,year,"Aerospace, Industrial Engineering, Manufacturing, Space Travel"
Performance Software Corporation,https://www.crunchbase.com/organization/performance-software-corporation,"Phoenix, Arizona, United States","Performance is a software and engineering services firm that provides innovative, turnkey solutions for safety-critical projects. They serve clients in the avionics, aerospace/defense, healthcare, and energy markets whose missions require meticulous attention to detail. Thier highly collaborative approach to outsourced development is disrupting the embedded software industry. They emphasize partnership and reliable, high-quality results. They’re agile problem solvers who possess exceptional technical skills and domain expertise. They build service-focused teams that have the tools and talent necessary to respond quickly and effectively to client needs and ever-changing conditions. They work intelligently and quickly to deliver high-performance solutions to thier clients. Performance also offers several pre-developed software solutions created for specific commercial applications. Available with complete customization options, these applications provide sophisticated technology in a cost-effective, plug-and-play format.",Active,For Profit,,,1998-01-01,year,"Aerospace, Computer, Software"
