Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Inversion,https://www.crunchbase.com/organization/inversion-space,"Los Angeles, California, United States","Inversion Space is a privately held company driven to change how humanity utilizes space. Its builds affordable, high cadence return vehicle for the commercial and defense industries.",Active,For Profit,Seed,,2021-01-22,day,"Aerospace, Space Travel, Transportation"
Quantum Space,https://www.crunchbase.com/organization/quantum-space,"Rockville, Maryland, United States",Quantum Space was founded to advance humanity’s journey to the stars by architecting the space superhighway.,Active,For Profit,Series A,,2021-01-01,year,Aerospace
Otonomi,https://www.crunchbase.com/organization/otonomi,"Brooklyn, New York, United States","OTONOMI is a blockchain-enabled parametric platform that transforms cargo insurance policies into fast, cost-effective, and transparent digital products. Powered by our proprietary technologies in data-activated triggers, smart contracts, and integrated digital wallets, we reduce claim resolution times from 45 days to 45 minutes, lowering admin costs by 75%. Our dynamic pricing and advanced risk scenario capabilities unleash new markets while achieving unparalleled profitability.",Active,For Profit,Seed,,2021-01-01,month,"Air Transportation, Blockchain, FinTech, Insurance, InsurTech, Logistics, Mobile, Payments, Transportation"
Apex - Spacecraft Manufacturing,https://www.crunchbase.com/organization/apex-space,"Los Angeles, California, United States",Apex Space provides spacecraft manufacturing for commercial and government customers.,Active,For Profit,Seed,,2022-01-01,year,"Aerospace, Commercial, Manufacturing"
K2 Space,https://www.crunchbase.com/organization/k2-space-ffe7,"West Hollywood, California, United States","K2 Space focuses on the latest generation of launch vehicles that will open the doors to the solar system. The company was founded by Karan Kunjur and Neel Kunjur in 2022 and is headquartered in West Hollywood, California.",Active,For Profit,Seed,,2022-01-01,year,"Aerospace, Space Travel"
AeroVanti,https://www.crunchbase.com/organization/aerovanti,"Annapolis, Maryland, United States","AeroVanti offers private aviation services aiming to make charter services affordable and accessible to everyone. It runs a membership service for its customers to give them access to charter planes and premium personalized services during their journey, providing customers with luxury and access to private flying when and where they like at a low cost. The company was founded in 2021 and is based in Annapolis, Maryland.",Active,For Profit,Corporate Round,,2021-01-01,year,"Aerospace, Air Transportation, Transportation"
Outpost,https://www.crunchbase.com/organization/outpost-8590,"Los Angeles, California, United States",Outpost is a development of industries in space firms. They provide services for aviation and aerospace. They offer earth return of satellites and orbital payload missions. An online inquiry form is available on the company's website.,Active,For Profit,Seed,,2021-01-01,year,Aerospace
Primordial Labs,https://www.crunchbase.com/organization/primordial-labs,"New Haven, Connecticut, United States","Our mission is to empower warfighters to focus on creative problem solving and not managing robots. We do this by drastically reducing the cognitive workload required to interact with autonomous platforms and other complex systems. Anura, our Tactical AI Assistant, provides a conversational human-machine interface that operates off of mission-type verbal commands. Our autonomy engine interprets these commands and generates mission plans for both the platform and on-board sensors. The company was founded by Lee Ritholtz and Adrian Pope in 2021 and is headquartered in New Haven, Connecticut.",Active,For Profit,Seed,,2021-01-01,year,"Aerospace, Artificial Intelligence, Autonomous Vehicles, GovTech, Machine Learning, National Security"
Half Square,https://www.crunchbase.com/organization/half-square-security,"New York, New York, United States","HalfSquare Inc an innovative cyber security and data security company, providing top-notch services to our clients. We specialize in preventing the unauthorized access of data by defending networks, systems, and database from cyber-attacks and vulnerabilities. We keep our clients data protected using the latest technologies, such as AI-driven data protection, Encryption, and Next-Generation Firewalls. Our experienced professionals provide custom solutions customized to the needs of each individual customer. As a team, we strive hard to make sure that each of our customers is provided with superior cybersecurity tailored to their specific circumstances.",Active,For Profit,Seed,,2021-10-01,day,"Aerospace, Cloud Security, Cyber Security, Data Center, Data Storage, Fraud Detection, Information Technology, Network Security, Penetration Testing, Space Travel"
Nooks,https://www.crunchbase.com/organization/nooks-163a,"Santa Ynez, California, United States","Nooks provides Classified-Spaces-as-a-Service (CSaaS) to both commercial and government customers. It offers national access to a network of classified flex office spaces to save the company time, capital, and opportunity costs.  The company was founded in 2021 and is headquartered in Santa Ynez, California.",Active,For Profit,Venture - Series Unknown,,2021-01-01,year,"Aerospace, Information Technology"
Skyway,https://www.crunchbase.com/organization/skyway-7413,"San Rafael, California, United States","Skyway develops a cloud-based secure automated airspace authorization service for the aviation industry. Skyway's offerings include: Drone Recovery, which assists in the management of risk, expense, reports, and government compliance; Drone Traffic Management, which provides high-definition geo navigation and mapping for drone missions; Vertiport Planning, which serves as the hub for passenger and cargo air mobility operations; and Vertiport Traffic Management, which provides critical technologies for operating and maintaining airspace traffic requests to vertiport developers.",Active,For Profit,Pre-Seed,"Black / African American Founded, Black / African American Led, Hispanic / Latine Founded, Hispanic / Latine Led",2021-01-05,day,"Aerospace, Air Transportation, Drone Management, Information Technology, Navigation, Software"
Radical,https://www.crunchbase.com/organization/radical-4ad8,"Seattle, Washington, United States","Radical offer continuous, year-round, direct-to-handset LTE or 5G to more than 90% of the world's population, Radical are developing high altitude solar aircraft. At a tenth of the cost of terrestrial networks, Radica aircraft can increase network coverage to underserved locations.",Active,For Profit,Pre-Seed,,2022-01-01,year,"Aerospace, Internet, Telecommunications"
Continuum Space Systems,https://www.crunchbase.com/organization/continuum-space-systems,"Pasadena, California, United States",Continuum Space Systems specializes in enabling the sequencing of every mission stage from ideation to design to operations. Its module-based Continuum platform empowers all stakeholders to collaboratively achieve their space needs and objectives.,Active,For Profit,Seed,,2021-01-01,year,"Aerospace, Management Information Systems, Space Travel"
ThinkOrbital,https://www.crunchbase.com/organization/think-orbital,"Denver, Colorado, United States","Access to low earth orbit is improving thanks to an increasing number of launch providers and new technologies reducing the overall launch weight/ price ratio. This creates attractive opportunities for space tourism (aka private space explorers), research, manufacturing, and a number of other use cases and services (e.g.: refueling, earth observation, space forces support, space dock and spacecraft repairs and up-cycling, space entertainment, etc.). Privately owned, commercially operated, low cost, and versatile space stations would provide an exceptional platform to benefit from said opportunities.",Active,For Profit,Grant,,2021-01-01,day,"Aerospace, Manufacturing, Robotics, Space Travel"
Velontra,https://www.crunchbase.com/organization/velontra,"Cincinnati, Ohio, United States","Velontra provides hypersonic weapon technologies and attributable aerospace solutions. The company was founded in 2021 and is headquartered in Cincinnati, Ohio, United States.",Active,For Profit,Pre-Seed,,2021-01-01,year,"Aerospace, Air Transportation, Military"
Plasmos,https://www.crunchbase.com/organization/plasmos,"Los Angeles, California, United States",Plasmos is a deep tech space startup solving the problem of last-mile delivery of space payload.,Active,For Profit,Pre-Seed,,2021-09-06,day,"Aerospace, Space Travel"
SkyThread,https://www.crunchbase.com/organization/skythread,"Irvine, California, United States","SkyThread is an Enterprise Software-as-a-Service (SaaS) company building a Blockchain data exchange network to deliver trust in ""Data for the Life of the Aircraft."" Their customers are the Maintenance and Overhaul Ecosystem of the skies.",Active,For Profit,Seed,,2021-01-01,year,"Aerospace, Information Technology, SaaS, Software, Travel"
Aircon,https://www.crunchbase.com/organization/aircon-894d,"Flower Mound, Texas, United States",AirCon is the first gateway-as-a-service in the air cargo industry. AirCon's platform identifies opportunities across air freight shipments to maximize space & weight utilization and reduce costs,Active,For Profit,Pre-Seed,,2021-01-01,day,"Air Transportation, Supply Chain Management"
Additive Space Technologies,https://www.crunchbase.com/organization/additive-space-technologies,"Denver, Colorado, United States","Additive Space Technologies uses additive manufacturing systems, a machine-learning collaborative system for building vehicles and infrastructure on Earth, the Moon, or Mars.",Active,For Profit,Pre-Seed,,2022-01-01,year,"3D Printing, 3D Technology, Aerospace, Machine Learning, Manufacturing"
Starfighters Space,https://www.crunchbase.com/organization/starfighters-space,"Cape Canaveral, Florida, United States","Starfighters Space is an operator of a fleet of seven F-104 one-and two-seat aircraft. The company was founded in 2022 and is headquartered in Cape Canaveral, Florida, United States.",Active,For Profit,Seed,,2022-01-01,year,"Aerospace, Air Transportation, Space Travel"
WingXpand,https://www.crunchbase.com/organization/wingxpand,"St Louis, Missouri, United States","WingXpand is an aerospace company that manufactures commercial drones and provides related services. The company was founded in 2022 and is headquartered in St. Louis, Missouri.",Active,For Profit,Pre-Seed,,2022-01-01,year,"Aerospace, Commercial, Manufacturing"
Skyted,https://www.crunchbase.com/organization/skyted,"France, Idaho, United States",Skyted creates new solutions and services to enable neo-nomadic and hybrid work environments by lowering voice impact and rethinking workspace possibilities.,Active,For Profit,Seed,,2021-01-01,year,"Aerospace, Manufacturing"
Voltela,https://www.crunchbase.com/organization/voltela-inc,"New York, New York, United States",Voltela provides connectivity assurance for commercial drones and enables this emerging industry to scale Beyond Visual Line Of Sight operations.,Active,For Profit,Grant,,2021-01-04,day,"Aerospace, Drones, Information and Communications Technology (ICT), Information Technology, Telecommunications"
Pluto Aerospace,https://www.crunchbase.com/organization/pluto-aerospace,"West Lafayette, Indiana, United States",Pluto Aerospace offers space technology research and development services. Their reusable sub-orbital rocket is capable of a variety of flight profiles and payload accommodations to meet a range of mission needs.,Active,For Profit,Pre-Seed,,2021-01-01,year,Aerospace
Space Crystals LLC,https://www.crunchbase.com/organization/waypoint-2-space,"Houston, Texas, United States","Space Crystals, LLC will capture customer DNA and infuse it into two crystalline matrix solutions per customer in our partner laboratory in Houston, TX. These solutions are then sent to the International Space Station where the crystals will grow in the weightlessness environment of space. Crystals grown in space are totally unique and one of a kind because they are not hindered by gravity and can grow in all directions and form one-of-a-kind creations and with the DNA infused into the crystals the essence of the customers will be preserved for all eternity. Thirty to forty-five days later the crystals are returned to earth and one of the crystals is sent to the customer while the sister crystal will be mounted in a specially designed lunar time capsule and sent to the moon on one of the NASA Commercial Lunar Payload Services (CLPS) lunar landers in late 2022.",Active,For Profit,Seed,,2021-09-01,month,"Aerospace, Jewelry, Training"
Space Elements,https://www.crunchbase.com/organization/space-elements,"Nashville, Tennessee, United States","The mission of Space Elements is to contribute to the fields of space research and product design, space exploration, and extraterrestrial colonization. We give back to the community through the use of our observatories, scholarships, and more.",Active,For Profit,Angel,,2021-01-14,day,"Aerospace, Satellite Communication, Software"
Firestorm,https://www.crunchbase.com/organization/firestorm-548d,"San Diego, California, United States","Firestorm is building the future of modular open-source architecture supporting the Department of Defense requirements to create ""Low-Cost, Affordable Mass.""",Active,For Profit,Seed,,2022-05-01,month,"3D Printing, Aerospace, Drones, Government, Military, National Security"
Space Kinetic,https://www.crunchbase.com/organization/space-kinetic,"Albuquerque, New Mexico, United States",,Active,For Profit,Non-equity Assistance,,2022-02-03,day,"Aerospace, Logistics, Robotics, Transportation"
Privateer,https://www.crunchbase.com/organization/privateer,"Kihei, Hawaii, United States",Privateer is a space corporation that attempts to classify space junk in order to improve the safety of space travel. Privateer develops knowledge graph technology that delivers enhancements to how people collect and process information about space objects. This data and the applications built on it will allow space operators to maneuver safely and effectively.,Active,For Profit,Seed,,2021-06-01,month,"Aerospace, Data Visualization, Geospatial, Predictive Analytics, Public Safety, Space Travel"
Starburst Ventures,https://www.crunchbase.com/organization/starburst-accelerator,"Los Angeles, California, United States",Starburst Ventures is a global aerospace & defense focused venture capital fund.,Active,For Profit,,,2021-01-01,year,"Aerospace, National Security, Venture Capital"
Titan Space Technologies,https://www.crunchbase.com/organization/titan-space-technologies,"Palo Alto, California, United States","Titan Space Technologies is an orbital compute platform that offers real-time monitoring and neural engine capabilities to accelerate the next generation of scientific technology innovations for enterprises, such as adaptive immune response, carbon capture and biomedical applications.",Active,For Profit,Seed,,2021-01-01,year,"Aerospace, Air Transportation"
Proteus Space,https://www.crunchbase.com/organization/proteus-space,"Los Angeles, California, United States",Proteus Space is a satellite innovator and manufacturer - building for scale in the New Space Economy.,Active,For Profit,Pre-Seed,,2021-01-01,year,"Aerospace, Government, Industrial Manufacturing, Manufacturing, National Security, Space Travel, Supply Chain Management"
Nova Space,https://www.crunchbase.com/organization/nova-space,"Minneapolis, Minnesota, United States","Nova Space Setting the space industry standard for professional development. Combining an experienced management team, extensive network of potential clients, and access to the public capital markets, Nova Space Inc. represents a unique organization designed to support accelerated growth of the domestic and international Space community. Nova Space Inc. provides digital courses that offer training for teams and individuals ready to further competency, increase efficiency, and create a better working environment for space professionals.",Active,For Profit,,,2021-04-01,day,"Aerospace, Corporate Training, Space Travel"
Aeronautics Risk Advisors,https://www.crunchbase.com/organization/aeronautics-risk-advisors,"Reston, Virginia, United States","Aeronautics Risk Advisors (ARA) helps the aerospace industry secure reliable insurance products to protect their assets while in air, and space. Many aerospace insurance providers currently struggle to provide adequate protection needed due to capacity and reinsurance constraints. We partner with clients, insurance brokers, carriers, private equity firms, and governments to create comprehensive risk programs and strategies for aeronautical vehicles, systems, and intelligence machines.",Active,For Profit,Pre-Seed,,2023-01-01,year,"Aerospace, Air Transportation, Asset Management, Insurance, Intelligent Systems, Risk Management, Space Travel"
FlightLine Technologies,https://www.crunchbase.com/organization/flightline-technologies,"Roseville, California, United States","FlightLine Technologies is a software platform for owner-operated Cirrus aircraft.   Our tech-enabled, two-sided marketplace makes aircraft ownership approachable through modern co-ownership and gives individual Cirrus plane owners total control through software enablement. We are the only owner experience platform that makes owning a Cirrus aircraft transparent, flexible, and straightforward with data, reporting & analytics tools to take the complexity out of ownership. Our community-driven software brings together Cirrus owners, pilots, trainers( CSIPs), and anyone (e.g. non-pilots) interested in Cirrus co-ownership. Customer-obsessed and product-driven, FlightLine is an aviation technology company building products and services for tech-savvy next-generation plane ownership and advanced air mobility (AAM) technologies. For #avgeeks: FlightLine is PART 91 done right.",Active,For Profit,Seed,,2021-01-01,year,"Aerospace, Software"
"Kquika, Inc",https://www.crunchbase.com/organization/kquika-inc,"New York, New York, United States","Kquika is a tech startup based in New York, USA. We specialize in using ML and AI to solve a wide range of problems across various industries. Our services include custom systems development and maintenance for clients in industries such as aerospace/aviation, healthcare, finance, agriculture, transportation, and more. We aim to help our clients streamline their processes and improve efficiency through the use of cutting-edge technology.",Active,For Profit,,,2021-11-01,month,"Aerospace, Artificial Intelligence, Big Data, Data Center Automation, Enterprise Software, Machine Learning, National Security, Software"
Datum Source,https://www.crunchbase.com/organization/datum-source,"Costa Mesa, California, United States",,Active,For Profit,,,2021-01-01,year,"Aerospace, Manufacturing, Online Portals"
Flight GPS,https://www.crunchbase.com/organization/flight-gps,"Salt Lake City, Utah, United States","Flight GPS is an advanced navigation solution that seamlessly integrates with your ForeFlight device to provide real-time, pinpoint GPS positioning. This cutting-edge app not only delivers continuous status updates but also empowers you to control how your location data is utilized within ForeFlight. Elevate your flying experience with unparalleled control, heightened situational awareness, and the ultimate in comfort and convenience - all at your fingertips with Flight GPS.",Active,For Profit,,,2022-10-16,day,"Air Transportation, In-Flight Entertainment, Professional Services, Software"
Karman Space & Defense,https://www.crunchbase.com/organization/karman-space-defense,"Huntington Beach, California, United States",,Active,For Profit,,,2021-01-01,year,"Aerospace, Manufacturing, Space Travel"
RapidFlight,https://www.crunchbase.com/organization/rapidflight,"Manassas, Virginia, United States",,Active,For Profit,,,2021-01-01,year,"Aerospace, Manufacturing, Product Design"
Kyte Dynamics,https://www.crunchbase.com/organization/kyte-dynamics,"Walnut, California, United States","Kyte Dynamics develops an aerial delivery and logistics solution. Its platform helps to deliver from warehouses, restaurants, and retail within minutes at delivery prices, navigation apparatus for unmanned aerial vehicles, software for operating, maintaining, monitoring, logging autonomous aircraft. Founded in 2021, the company is based in Walnut,  California, United States.",Active,For Profit,,,2021-01-01,year,"Air Transportation, Autonomous Vehicles, Logistics"
Ocean Camera Space Corp,https://www.crunchbase.com/organization/ocean-camera-space-corp,"Brownsville, Texas, United States","The goal of Ocean Camera Space is to video every ocean in the solar system and harvest the water, to sustain human life in space.",Active,For Profit,,,2021-09-28,day,"Aerospace, Photography, Satellite Communication, Space Travel"
Socian Technologies,https://www.crunchbase.com/organization/socian-technologies,"Chicago, Illinois, United States",Socian is a pre-revenue tech startup building autonomous drone systems that serve as the ultimate accountability tool for safer community policing. AI adds value to our systems by tracking suspects at large and identifying weapons while supporting both law enforcement and commercial customers to save lives.,Active,For Profit,Pre-Seed,"Black / African American Founded, Black / African American Led",2021-02-10,day,"Aerospace, Artificial Intelligence, Drones, Machine Learning, Software"
Viridian Space,https://www.crunchbase.com/organization/viridian-space,"Culver City, California, United States","Viridian Space develops a propulsion technology intended to use oxygen to stay in ultra-low earth orbit. The company was founded in 2021 and is based in Culver City, California.",Active,For Profit,,,2021-01-01,year,"Aerospace, Manufacturing, Space Travel"
Spright,https://www.crunchbase.com/organization/spright-a7ed,"Gilbert, Arizona, United States","Spright offers streamlined and sustainable solutions to overcome the everyday challenges of inefficient ground operations. They apply groundbreaking technology and an innovative service model. They provide unmanned aerial systems (UAS) end-to-end solutions that are revolutionizing healthcare delivery and utility inspections. They use their operational expertise in autonomous, bidirectional, and beyond-visual line-of-sight drone solutions to help them rise above their business challenges.",Active,For Profit,,,2021-01-01,year,"Air Transportation, Drones, Health Care"
UFO,https://www.crunchbase.com/organization/ufo,"Sunnyvale, California, United States",,Active,For Profit,,,2022-07-01,day,"Aerospace, Blockchain, Data Center, Government, Military, Satellite Communication, Space Travel"
Lesath International Inc,https://www.crunchbase.com/organization/lesath-international-inc,"Buffalo, New York, United States","Lesath operates as a Space transportation and exploration company which researches, designs and manufacture next-Gen reusable space launch vehicles. The company was founded in 2021  and is currently headquartered in Buffalo, NY.",Active,For Profit,,,2021-04-15,day,"Aerospace, Manufacturing, Space Travel, Transportation"
Airblox,https://www.crunchbase.com/organization/airblox,"Illinois City, Illinois, United States",,Active,For Profit,,,2021-01-01,year,"Air Transportation, Logistics, Transportation"
EMS Team,https://www.crunchbase.com/organization/ems-team,"Circleville, Ohio, United States",,Active,For Profit,,,2021-01-01,year,"Air Transportation, Emergency Medicine, Health Care, Transportation"
Ember Flash Aerospace,https://www.crunchbase.com/organization/ember-flash-aerospace,"Boulder Creek, California, United States","Ember Flash Aerospace's innovative technology aims to revolutionize wildfire management by utilizing Ultra Long Endurance UAVs and combining multiple data streams from various sources. Their proprietary Generative AI platform can process and analyze this data in real time, providing actionable insights to firefighters on the ground. In addition to its own data sources, Ember Flash Aerospace integrates data from a wide range of public and private sources, including satellite imagery, smoke cameras, and weather data, to create a comprehensive picture of the wildfire situation. The company's Ultra Long Endurance UAVs can fly or hover over specific zones for extended periods, allowing them to gather and transmit data continuously. Through their research, Ember Flash Aerospace has found that their UAVs can detect the spread of fires and accurately map the affected areas, providing real-time data and insights that will help firefighters strategize and plan their firefighting efforts more effectively. Their Generative AI platform will also help firefighters identify areas where people may be trapped or need assistance, allowing them to direct their efforts more efficiently. With its experienced management team, strong financial projections, and cutting-edge technology, Ember Flash Aerospace is well-positioned for long-term success and growth in the disaster response industry. By leveraging the power of Ultra Long Endurance UAVs and Generative AI mapping and decision-making, Ember Flash Aerospace looks forward to making a significant impact in the fight against wildfires and revolutionizing the way we approach disaster response.",Active,For Profit,,,2021-08-01,day,"Aerospace, Artificial Intelligence, Drones, Information Technology, Predictive Analytics, SaaS, Software"
Luftcar,https://www.crunchbase.com/organization/luftcar,"Orlando, Florida, United States",,Active,For Profit,,,2021-01-01,year,"Aerospace, Autonomous Vehicles, Fuel, Transportation"
VMO Aircraft Leasing,https://www.crunchbase.com/organization/vmo-aircraft-leasing,"San Francisco, California, United States",,Active,For Profit,,,2021-01-01,year,"Aerospace, Air Transportation, Leasing"
Karman+,https://www.crunchbase.com/organization/karman,"Denver, Colorado, United States","Karman+ is a company focused on near-earth asteroid mining for carbon neutral and sustainable energy and resources. As opposed to other space mining companies whose initial goal is mineral and metal mining, Karman+ plans to begin with mining for water and kickstart a flywheel cis-lunar economy.",Active,For Profit,,,2021-01-01,year,Aerospace
Axta Space,https://www.crunchbase.com/organization/axta-space,"Arlington, Virginia, United States",Axta Space delivers optical solutions for space communications. Axta's vision is to enable a space-based network of nodes that provide fiber-speed data connectivity.,Active,For Profit,,,2022-01-01,year,"Aerospace, Communications Infrastructure, Optical Communication"
Airhart Aeronautics,https://www.crunchbase.com/organization/airhart-aeronautics,"San Francisco, California, United States","Airhart Aeronautics creates semi-autonomous airplanes that make it easier for pilots to operate their own planes. Airhart airplanes use a fault-tolerant fly-by-wire control technology that streamlines all stages of flying. Comprehensive testing are integrated into the design from the outset, guaranteeing that every flight is safe. Airhart Aeronautics was founded in 2022.",Active,For Profit,Venture - Series Unknown,,2022-01-01,year,"Aerospace, Autonomous Vehicles, Manufacturing"
Aeroplicity,https://www.crunchbase.com/organization/aeroplicity,"Sacramento, California, United States","Aeroplicity is an innovative aerospace & defense technology startup building the world's first blockchain-backed aerospace & defense platform made for small to medium-sized businesses alongside its Traceability (as a service) application which simplifies the process of creating, managing, and sharing traceability documentation. It enables businesses to create digital twins of their documentation, which can be easily shared through QR codes, eliminating the need for physical copies. The use of blockchain technology ensures the authenticity of the documentation and improves supply chain transparency, speed, and efficiency.",Active,For Profit,,,2023-01-04,day,"Aerospace, Government, Military, SaaS, Software"
Downmass,https://www.crunchbase.com/organization/downmass,"Los Angeles, California, United States",Downmass is a NewSpace company dedicated to bringing all forms of mass back to earth (and beyond).,Active,For Profit,,,2022-01-01,year,"Aerospace, Industrial, Military, National Security, Space Travel"
Applied Physics,https://www.crunchbase.com/organization/applied-physics,"New York, New York, United States","Applied Physics, PBC. is an independent group of scientists and engineers that advise companies and governments on science and technology for both humanitarian and commercial applications. Privately funded and self-sustaining through the company's patent portfolio, Applied Physics is a physics think tank structured to be wholly independent of any academic or government body, allowing the organization to pursue research solely for the public good. We are headquartered in Stockholm, Sweden, with offices in Manhattan.",Active,For Profit,,,2021-01-01,year,"Aerospace, Civil Engineering, Mechanical Engineering, Military, Space Travel"
Signia Aerospace,https://www.crunchbase.com/organization/signia-aerospace,"Vancouver, Washington, United States",Signia Aerospace is a manufacturer of high-performance aerospace systems and specialized components.,Active,For Profit,,,2021-01-01,year,"Aerospace, Environmental Consulting, Manufacturing"
TRL11,https://www.crunchbase.com/organization/trl11,"Los Angeles, California, United States",,Active,For Profit,,,2022-01-01,year,"Aerospace, Battery, Manufacturing, Sensor"
Beeontrade,https://www.crunchbase.com/organization/beeontrade,"North Bergen, New Jersey, United States","Beeontrade is a full-service global freight forwarder and logistics platform using modern software to fix the user experience in global trade. The platform arranges goods to be transported and tracks the inventory in real-time in orders carried by the ocean, air, and road freight, enabling logistics companies to optimize transportation routes and inventory management. It is a licensed freight forwarder built around a modern platform. At Beeontrade, we empower fast-growing DTC medium enterprises to achieve complete visibility and optimized efficiency of global supply chains and logistics. With a primary focus on Beauty, Retail, Food and FMCG verticals, our customers experience greater flexibility through integration and chain customization for an open, cost-effective global supply chain.  The company was founded in 2021 by Caglar Denel and is based in North Bergen, New Jersey.",Active,For Profit,,,2021-05-14,day,"Air Transportation, Freight Service, Logistics, Marine Transportation, Shipping, Software, Supply Chain Management, Transportation"
Airio,https://www.crunchbase.com/organization/airio,"Oakland, California, United States","Airio is a developer/operator of commercial autonomous aircraft systems, leveraging geospatial intelligence with next-generation automated route optimization for commercial drones and Advanced Air Mobility vehicles (eVTOLs).  Our goal is a comprehensive operational platform that enables a single operator to manage a diverse fleet of 20+ autonomous aircraft, each exercising an independent mission.",Active,For Profit,,,2021-06-01,month,"Aerospace, Air Transportation, Artificial Intelligence, Drone Management, Geospatial, GreenTech, Intelligent Systems, Navigation"
Altaport,https://www.crunchbase.com/organization/altaport,"Salt Lake City, Utah, United States","Altaport is a modern toolset for airport, heliport, and vertiport operations management that enables eVTOL operators to explore, identify and reserve the perfect destination for passengers.",Active,For Profit,,,2021-01-01,year,"Air Transportation, Infrastructure, Operating Systems"
Novus Sentry,https://www.crunchbase.com/organization/novus-sentry,"Oakland, California, United States","Novus Sentry is a battery health diagnostic company. We focus on extending battery life through improved battery safety, quality and reliability. Battery health testing is expensive, time consuming and damaging to batteries - our technology addresses this.  Through a proprietary technology developed alongside world leading battery researchers, our solution rapidly characterizes a battery's health in a way to ensure safety, quality and reliability. Independent of battery chemistry or cell formats, we measure a battery's health up to 1000x faster than current methods. In doing so, we bring dynamic predictive analytics to battery manufacturers, asset owners and end users. Currently we are working on pilots with cell manufacturers and pack integrators and serve private and government partners.",Active,For Profit,Pre-Seed,,2021-01-01,year,"Air Transportation, Battery, Electric Vehicle, Energy Storage, Renewable Energy"
