Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
PPG Aerospace,https://www.crunchbase.com/organization/ppg-aerospace,"Atlanta, Georgia, United States","The PPG Aerospace portfolio is comprised of a unique group of products and services.Through a series of strategic acquisitions, PPG has assembled a team of industry leaders that builds on its own long history as a transparencies aviation leader, with PRC-DeSoto International for sealants, coatings, and packaging and application systems; Sierracin/Sylmar Corp. for advanced composite transparencies; and Eldorado Chemicals for paint removal and cleaning. Through this exceptional team, PPG is able to deliver what is key to the aviation industry: innovation.",Active,For Profit,Venture - Series Unknown,,1920-01-01,year,"Aerospace, Air Transportation, Chemical, Transportation"
Miami International Airport,https://www.crunchbase.com/organization/miami-international-airport,"Miami, Florida, United States","Miami International Airport is an aviation and aerospace company that provides air services to people traveling to and from Florida. The Miami-Dade Aviation Department operates Miami International Airport (MIA), which is located on 3,230 acres of land near downtown Miami and is owned by the Miami-Dade County government. Miami International Airport has over 90 air carriers and serves flights to Latin America and the Caribbean.",Active,For Profit,Corporate Round,,1928-01-01,year,"Aerospace, Air Transportation, Transportation, Travel"
Aero Bending Company,https://www.crunchbase.com/organization/aero-bending-company,"Palmdale, California, United States","Aero Bending Company is a metal fabrication company that offers tube bending, welding, and torch brazing complete sheet metal support, specializing in clamps, enclosures and brackets.",Active,For Profit,Private Equity,,1944-01-01,year,"Aerospace, Customer Service, Industrial Manufacturing, Manufacturing, Precious Metals"
National Air and Space Museum,https://www.crunchbase.com/organization/national-air-and-space-museum,"Washington, District of Columbia, United States","The National Air and Space Museum of the Smithsonian Institution has the world's biggest and most significant collection of aviation and space objects, including all aspects of human flight, as well as associated works of art and archive materials. It operates two iconic facilities that accommodate more than eight million visitors every year, making it the country's most visited museum. The Center for Earth and Planetary Studies is also housed there.",Active,For Profit,Grant,,1946-01-01,year,"Aerospace, Mobile Apps, Museums and Historical Sites"
Sunvair,https://www.crunchbase.com/organization/sunvair,"Valencia, California, United States","Sunvair specializes in landing gear overhauls and component repairs for both commercial and military aircraft. The Company has built a reputation among leading aircraft operators for high quality, responsive customer service and rapid turnaround.",Active,For Profit,Debt Financing,,1956-01-01,year,"Aerospace, Industrial Manufacturing, Machinery Manufacturing"
San Antonio International Airport,https://www.crunchbase.com/organization/san-antonio-international-airport,"San Antonio, Texas, United States","San Antonio International Airport is an airport. They offer airport services for travellers, including flights, parking, ground transportation, traveller assistance, flight status, rental cars, taxi cabs, ride-sharing, public transportation, and more.",Active,For Profit,Grant,,1941-07-01,month,"Aerospace, Air Transportation, Parking, Ticketing"
Albany International Airport,https://www.crunchbase.com/organization/albany-international-airport,"Albany, New York, United States","Albany International Airport offers commercial airline services and air cargo services. Their airport includes recent improvements to the terminal and a new parking garage. Their commercial airline services include Allegiant Airlines, American Airlines, Delta Airlines, Frontier Airlines, JetBlue, Southwest Airlines, and United Airlines. Albany International Airport is the smart airport of the future, leading the industry with innovative practices and procedures to ensure a simple, safe, and clean travel experience for everyone.",Active,For Profit,Grant,,1928-01-01,year,Air Transportation
Frost & Sullivan,https://www.crunchbase.com/organization/frost-sullivan,"Mountain View, California, United States","Frost & Sullivan enables clients to accelerate growth and achieve best-in-class positions in growth, innovation and leadership. The company's Growth Partnership Service provides the CEO and the CEO's Growth Team with disciplined research and best-practice models to drive the generation, evaluation, and implementation of powerful growth strategies. We leverage 50 years of experience in partnering with Global 1000 companies, emerging businesses and the investment community from over 40 offices on six continents.",Active,For Profit,,,1961-01-01,year,"Aerospace, Automotive, Consulting, Information Technology, Internet, Marketing, Military, Security"
Textron,https://www.crunchbase.com/organization/textron,"Providence, Rhode Island, United States","Textron Inc. is a multi-industry company that leverages its global network of aircraft, defense, industrial and finance businesses to provide customers with innovative solutions and services. Textron is known around the world for its powerful brands such as Bell Helicopter, Cessna Aircraft Company, Jacobsen, Kautex, Lycoming, E-Z-GO, Greenlee, and Textron Systems.",Active,For Profit,,,1923-01-01,year,"Aerospace, Finance, Industrial"
Burke Aerospace,https://www.crunchbase.com/organization/burke-aerospace,"Farmington, Connecticut, United States","Burke Aerospace is an aerospace and defense manufacturing company that offers electric discharge machining and milling services to the aerospace, industrial gas turbine (IGT), and defense industries. It provides CNC sinker electric discharge machining (EDM), wire electric discharge machining (WEDM), high-speed hole (HSH), airflow testing, and 5 axis milling services. TTi provides all EDM and milling solutions for turbine blades/buckets, vanes/nozzles, shrouds, combustor components, engine cases, and ring segments. The company has earned wide recognition for high quality, responsiveness, and lean enterprise that adds value and satisfies customers. It is headquartered in Farmington, Connecticut in 1963.",Active,For Profit,Debt Financing,,1963-01-01,year,"Aerospace, Industrial, Manufacturing"
Moog,https://www.crunchbase.com/organization/moog,"East Aurora, New York, United States","Moog Inc. is a worldwide designer, manufacturer, and integrator of precision motion control products and systems. Moog's high-performance systems control military and commercial aircraft, satellites and space vehicles, launch vehicles, missiles, industrial machinery, wind energy, marine applications, and medical equipment.",Active,For Profit,,,1951-01-01,year,"Aerospace, Industrial, National Security"
FDH Aero,https://www.crunchbase.com/organization/fdh-aero,"El Segundo, California, United States","FDH Aero is a distributor of c-class hardware and replacement parts to commercial and defense aircraft manufacturers, subcontractors, component distributors, and MRO/aftermarket solution providers.",Active,For Profit,,,1964-01-01,year,"Aerospace, Industrial, Manufacturing"
Air Industries Group,https://www.crunchbase.com/organization/air-industries-group,"Bay Shore, New York, United States","Air Industries Group (AIRI) is an integrated manufacturer of precision equipment assemblies and components for leading aerospace and defense prime contractors. Air Industries designs and manufactures flight critical products including flight safety parts, landing gear and components, arresting gear, flight controls, sheet metal fabrications, and ground support equipment.",Active,For Profit,Post-IPO Equity,,1959-01-01,year,"Aerospace, Manufacturing, National Security"
Sonfarrel Aerospace,https://www.crunchbase.com/organization/sonfarrel-aerospace,"Anaheim, California, United States","Son-Aero is a manufacturer of aerospace and defense parts and helps with aerospace or defense projects. The company produces commercial parts intended for the aerospace industry. Its manufacturing capabilities offer elastomeric seals and rubber molding, machining, plastic injection, and compression molding, enabling clients to get access to a variety of good quality aerospace components. The Anaheim, California-based company was founded in 1955.",Active,For Profit,Venture - Series Unknown,,1955-01-01,year,"Aerospace, Machinery Manufacturing, Manufacturing"
United States Air Force,https://www.crunchbase.com/organization/united-states-air-force,"Washington, District of Columbia, United States","The United States Air force is the aerial arm of the armed forces of the United States of America. The Air Force provides compelling air, space, and cyber capabilities for use by the combatant commanders of the U.S. armed forces. The Air Force maintains a size of over 330,000 active personnel in its ranks with over 5,000 aircrafts. The Air Force also maintains 63 satellites. The annual budget of the force is over US$ 140 billion.   The United States Air Force was formed in 1947 by the National Security Act and has been deployed in many major conflicts around the world. Besides its combat role, the U.S. Air Force is also a major contributor to relief and aid operations around the world. The United States Air Force has its headquarters at the Pentagon in Virginia.",Active,For Profit,,,1951-01-01,year,"Aerospace, Medical, National Security"
Raytheon,https://www.crunchbase.com/organization/raytheon,"Waltham, Massachusetts, United States","Raytheon Technologies is an aerospace and defense company that provides advanced systems and service for commercial, military, and government customers. The company is pushing the boundaries of avionics, cybersecurity, directed energy, electric propulsion, hypersonics, quantum physics, and more.",Active,For Profit,Grant,,1922-07-07,day,"Aerospace, Manufacturing, National Security, Security, Sensor, Telecommunications, Training"
NetJets,https://www.crunchbase.com/organization/netjets,"Columbus, Ohio, United States","NetJets Two decades after making an indelible mark on human history in World War II, three retired military pilots set out to change the course of aviation history. It was fifty years ago, 1964, that U.S. Air Force Generals Curtis LeMay and Paul Tibbets, with U.S. Army Air Corpsman Bruce Sundlun, partnered to give birth to NetJets’ forerunner, Executive Jet Aviation, one of the world’s first aircraft management businesses. With retired Air Force Brigadier General Dick Lassiter serving as president and chairman of the board – not to mention founding partners such as entertainers James Stewart and Arthur Godfrey – They were in quite capable hands right from the start. And They’ve been pioneers ever since. In 1984, when Richard Santulli purchased EJA and created the NetJets program – and with it, the concept of fractional ownership – They truly cemented Their place in the record books. In the following years, They grew steadily and constantly looked for new ways to ensure They provided the best safety and service for Their Owners: new aircraft, new facilities, new global programs. In 1995, Warren Buffett joined NetJets as a customer; by 1998, he was so impressed with the operation that he bought the company, adding it to the Berkshire Hathaway empire. From then on, with Berkshire’s backing, NetJets has had unmatched resources to invest in whatever it takes to always be the best and safest player in the industry. Today, NetJets continues to uniquely and expertly fill a crucial need – helping Their Owners save time in order to take care of what’s most important in their lives. And as They nurture a nascent operation in China, add state-of-the-art Signature Series™ aircraft worldwide, and take any and all steps to provide the most seamless and enjoyable travel experience possible, you can bet that They will continue to live up to Their promise.",Active,For Profit,,,1964-01-01,year,"Aerospace, In-Flight Entertainment, Privacy"
Calspan,https://www.crunchbase.com/organization/calspan-corporation,"Buffalo, New York, United States","Calspan provides testing and technology development services and solutions to the aerospace, defense, and automotive industries. Calspan assists innovators in pushing the boundaries of technology in order to transform the future. Working with Calspan reduces risk while producing test data quickly and affordably. Calspan's services and solutions are used in mobility & safety, flight & wind tunnel, jet engine test solutions, and hypersonics applications.",Active,For Profit,Grant,,1943-01-01,year,"Aerospace, Automotive, Industrial, Manufacturing, Test and Measurement"
Hawaiian Airlines,https://www.crunchbase.com/organization/hawaiian-airlines,"Honolulu, Hawaii, United States","Hawaiian Holdings, Inc. (Holdings), is a holding company whose primary asset is the sole ownership of all issued and outstanding shares of common stock of Hawaiian Airlines, Inc. (Hawaiian). Hawaiian is engaged in the scheduled air transportation of passengers and cargo amongst the Hawaiian Islands (the interisland routes), between the Hawaiian Islands and certain cities in the United States (the North America routes), and between the Hawaiian Islands and the South Pacific, Australia and Asia (the the International routes). In addition, Hawaiian also operates various charter flights. At December 31, 2011, Hawaiian's fleet consisted of sixteen Boeing 717-200 aircraft for its Neighbor Island routes and sixteen Boeing 767-300 aircraft and five Airbus A330-200 aircraft for its North America, International and charter routes. At December 31, 2011, it operated approximately 187 scheduled flights per day.",Active,For Profit,,,1929-01-01,year,"Air Transportation, Transportation, Travel"
EDO,https://www.crunchbase.com/organization/edo-corporation,"New York, New York, United States","EDO Corporation designs and manufactures products for defense, intelligence, and commercial markets. The company provides engineering and professional services; integrated systems and structures; undersea warfare systems; electronic systems and communications; command, control, communications, and computers; aircraft-armament systems; and intelligence and information warfare systems. EDO Corporation also offers airborne electronic warfare systems, elint/ESM systems, antenna products, integrated composite structures, mine countermeasure systems, sonar systems and components, aviation and missiles systems, and force protection programs. The company was formerly known Edo Aircraft Corporation and changed its name to EDO Corporation in December 1947. EDO Corporation was founded in 1925 and is based in North Amityville, New York. EDO Corporation operates as a subsidiary of Exelis Inc.",Active,For Profit,Grant,,1925-01-01,year,"Aerospace, Professional Services"
Sierra Nevada Corporation,https://www.crunchbase.com/organization/sierra-nevada-corporation,"Sparks, Nevada, United States","Sierra Nevada Corporation (SNC) is a world-class prime systems integrator and electronic systems provider known for its rapid, innovative, and agile technology solutions. Fast-growing and widely diversified, SNC is a high-tech electronics, engineering, and manufacturing corporation that continues to expand our impressive portfolio of capabilities, programs, products and services. SNC is a privately held company under the leadership of Chief Executive Officer, Fatih Ozmen, and President, Eren Ozmen. Over the last 30 years under the Ozmen’s leadership, SNC has remained focused on providing its customers the very best in diversified technologies to meet their needs and has a strong and proven track record of success. Headquartered in Sparks, Nevada, SNC is the Top Woman-Owned Federal Contractor in the United States. Since SNC was founded in 1963, the company has a strong tradition in developing and providing high technology electronics, avionics, and communications systems. Investing heavily over the years in people, processes, modern facilities, and the state-of-the-art equipment, SNC continues to enhance its technical advantage to provide innovative and cost-effective solutions to exceed its customer’s needs. With numerous successful and diverse acquisitions, SNC continues to acquire new capabilities as it expands its tradition of excellence into new growth areas of Renewable Energy, Telemedicine, Nanotechnology, Cyber, Net-Centric Operations, Microsatellites and Human Space Flight. SNC now has an extremely talented workforce of over 3,000 personnel most of whom are scientists, engineers, or technical personnel with college or advanced degrees, and all of whom are dedicated to satisfying customers' requirements. The company’s six Business Areas operate from 31 locations in 17 states along with numerous customer support sites located throughout the world. Please visit www.sncorp.com to learn more about SNC, its business area’s and the company’s capabilities, programs, products, and services.",Active,For Profit,,,1963-01-01,year,"Aerospace, Cyber Security, Hardware, Navigation, Product Design, Security, Software"
Amerinac Holding Corp.,https://www.crunchbase.com/organization/precision-aerospace-components,"Bensalem, Pennsylvania, United States","PRECISION AEROSPACE COMPONENTS INC. is a provider of quality aerospace components. The Company's vision is to build a leading aerospace component, fabrication and service business. Management plans to grow the company through a combination of product line expansions and strategic acquisitions.",Active,For Profit,Venture - Series Unknown,,1938-01-01,year,Aerospace
American Polarizers Inc,https://www.crunchbase.com/organization/american-polarizers-inc,"Reading, Pennsylvania, United States","American Polarizers manufactures polarized and non-polarized optical products that are used for scientific and medical instrumentation. The company also produces for aerospace, electronics, photographic, and animated display industries, which contribute to important government security efforts.",Active,For Profit,Grant,,1960-01-01,year,"Aerospace, Electronics, Manufacturing"
Heico,https://www.crunchbase.com/organization/heico,"Hollywood, Florida, United States","HEICO Corporation is a successful and growing technology-driven aerospace, industrial, defense and electronics company. For more than 55 years, HEICO has thrived by providing customers with innovative and cost-saving products and services. HEICO's products are found on large commercial aircraft, regional, business and military aircraft, as well as on a large variety of industrial turbines, targeting systems, missiles and electro-optical devices. HEICO Corporation is a New York Stock Exchange listed company (NYSE: HEI and HEI.A) and has also been ranked as one of the 100 ""World's Most Innovative Growth Companies"", 100 ""Best Small Companies"" and 200 ""Hot Shot Stocks"" by Forbes over the past decade.  With headquarters in Hollywood, Florida, and multiple locations around the world - HEICO provides over 1 million square feet of design, manufacturing, repair, overhaul, distribution, sales and support capabilities. HEICO Corporation operates in two segments, the Flight Support group and the Electronic Technologies group. The Flight Support group designs, engineers, manufactures, repairs, distributes and overhauls FAA-approved parts that extend over the entire aircraft, from the engines all the way to hydraulic, pneumatic, electromechanical, avionic, structures, wheels and brakes and even interiors. The Electronic Technologies group produces electrical and electro-optical systems and components serving niche segments of the aerospace, defense, communications, and computer industries.  The Electronic Technologies group is a worldwide leader in the design, manufacture and sale of electrically and electro-optical engineered products used in the aerospace, defense, space, and electronics industries. By combining state-of-the-art technologies, a team of highly skilled Team Members and an indisputable commitment to quality, both segments have constantly delivered invaluable solutions to customers over the years, helping to position them as leaders within their industries.",Active,For Profit,,,1949-01-01,year,"Aerospace, Electronics, Manufacturing"
PLZ Corp,https://www.crunchbase.com/organization/plz-aerospace,"Downers Grove, Illinois, United States","As the North American leader in specialty aerosol product manufacturing, the PLZ Corp family of companies specializes in the development, manufacturing, packaging and distribution of a comprehensive line of contract fill, brand and private label products. They formulate, blend, fill and package more than 2,500 brand and private label products, including industrial solvents, lubricants and degreasers, adhesives, sanitary supply disinfectants, insecticides, cleaners, polishes, air fresheners, and personal care products.  Since 1947, they have filled billions of aerosol cans for thousands of customers. In fact, each PLZ Corp company is a success story in itself with deep history, strong name recognition, and solid brand reputation across numerous industries.  PLZ Corp sets a high standard in on-time delivery of quality products. Their products adhere to federal and state VOC-regulated requirements and are compliant long before implementation deadlines, which enables us to avoid product performance fluctuations and delivery interruptions due to formulation and labeling changes. It’s their privilege to support your entry to market and assist you in reaching the next level of success.  PLZ Corp is a member of Pritzker Group which owns and operates market-leading companies in the manufactured products, services and healthcare sectors. The firm’s history as an entrepreneurial family-owned enterprise and its permanent, proprietary capital base allow PLZ the flexibility to invest in serving its customers' needs over the long term.",Active,For Profit,Private Equity,,1947-01-01,year,"Aerospace, Chemical, Manufacturing"
CAMP,https://www.crunchbase.com/organization/camp,"Merrimack, New Hampshire, United States",CAMP is the leading independent provider of aviation management products and services with a proven track record of over 45 years. CAMP is committed to providing the highest quality products and services to the business aviation community across the globe.,Active,For Profit,,,1967-01-01,year,"Aerospace, Air Transportation, Information Services, Information Technology, Management Consulting, Software"
Gulfstream Aerospace,https://www.crunchbase.com/organization/gulfstream-aerospace,"Savannah, Georgia, United States","Gulfstream has led the evolution of business and personal aviation since the 1958 debut of the Gulfstream I, the world’s first purpose-built business aircraft. Today, Gulfstream produces the world’s most advanced business aircraft, with innovations from nose to tail and wingtip to wingtip, all while offering unmatched global product support and service. Gulfstream’s commitment to excellence reflects that of its parent company, General Dynamics. Headquartered in Falls Church, Virginia, General Dynamics is a market leader in business aviation; land and expeditionary combat systems, armaments and munitions; shipbuilding and marine systems; and information systems and technologies. General Dynamics’ workforce numbers more than 95,000 employees worldwide. Gulfstream engineers, manufactures and services the world’s finest business aircraft. Headquartered in Savannah, Georgia, USA, Gulfstream operates facilities on four continents and employs more than 15,000 people worldwide.",Active,For Profit,,,1958-01-01,year,"Aerospace, Automotive, Information Technology, Manufacturing, Telecommunications"
LTA Research,https://www.crunchbase.com/organization/lta-research,"Palo Alto, California, United States",,Active,For Profit,,,1929-01-01,year,"Aerospace, Air Transportation, Industrial Manufacturing, Manufacturing"
Alaska Air Group,https://www.crunchbase.com/organization/alaska-air-group,"Seattle, Washington, United States","Alaska Airlines is the eighth-largest U.S. airline based on passenger traffic and is the dominant U.S. West Coast air carrier. Headquartered in Seattle, Alaska carries more passengers between the state of Alaska and the Lower 48 than any other airline. During recent years, the airline has expanded significantly to serve more U.S. East Coast, Mexican and Canadian destinations.",Active,For Profit,,,1932-01-01,year,"Aerospace, Tourism, Travel"
Pratt & Whitney,https://www.crunchbase.com/organization/pratt-whitney-aircraft,"Hartford, Connecticut, United States","Pratt & Whitney manufactures aircraft engines and auxiliary power systems. They design, manufacture, and service aircraft engines, auxiliary power, ground power units, and small turbojet propulsion products for commercial and military aircraft. They sell commercial engines, military engines, business aviation engines, auxiliary power units, and helicopter engines.",Active,For Profit,,,1925-07-22,day,"Aerospace, Industrial, Manufacturing"
Kaman Corporation,https://www.crunchbase.com/organization/kaman-corporation,"Bloomfield, Connecticut, United States","Since 1945, Kaman has been a leading innovator in the aerospace industry, serving commercial and military customers around the world. Its technical expertise and broad array of solutions has helped the organization grow to become one of North America's largest industrial distributors and system consultants. The Kaman Aerospace Group serves commercial and military customers around the world and employs over 2,900 individuals at 21 global facilities. The business segment accounted for 39% of 2016 consolidated revenues, which were comprised of defense, fuzing, and commercial sales. The Kaman Distribution Group offers a broad array of solutions that have helped it grow to become on of North America's largest industrial distributors and system consultants. The division employs over 2,200 individuals at 240 locations across the United States. It accounts for 61% of 2016 consolidated revenues, which came from the Bearings & Power Transmission, Automation, and Fluid Power product platforms.",Active,For Profit,Convertible Note,,1945-12-12,day,"Aerospace, Industrial, Industrial Automation, Manufacturing, Mechanical Engineering, Product Design"
