Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
uAvionix,https://www.crunchbase.com/organization/uavionix,"Palo Alto, California, United States","uAvionix develops the world’s smallest, lightest and most affordable ADS-B transceivers and transponders, Ping.  uAvionix’s Ping network system combines hardware, software, and real-time airspace mapping to enable companies to safely and reliably operate drones in the NAS. Based in Palo Alto, uAvionix has gathered a cross-disciplinary team of experts in embedded RF engineering, sUAS operations and compliance, hardware, software, and cloud services.",Active,For Profit,Series B,,2014-01-01,year,"Aerospace, Hardware, National Security, Robotics"
PlanetIQ,https://www.crunchbase.com/organization/planetiq,"Golden, Colorado, United States","PlanetIQ utilizes commercial satellite constellations to provide weather data for on-the-ground decision-making.  The costs of natural disasters are soaring as extreme weather increases and the population expands, putting more and more lives and property at risk. Meanwhile, smarter and more powerful weather and climate models are hungry for the data they need to produce more precise forecasts on time scales ranging from hourly to decadal. Yet the traditional model for government-funded satellite programs has not kept up with today’s technology and the rising demand for data. Aging spacecraft, budget constraints, and schedule delays threaten critical gaps in data crucial to monitoring and predicting day-to-day weather, hurricanes and winter storms, floods and drought, space weather, and climate change.",Active,For Profit,Series B,,2012-01-01,year,"Aerospace, GPS, Information Technology"
FLYR Labs,https://www.crunchbase.com/organization/flyr,"San Francisco, California, United States","FLYR Labs brings together the best technologists to radically transform air travel through cutting edge technologies that are years ahead of what has been commercially available. FLYR Labs solves complex problems with beautifully engineered solutions that rely on Deep Learning (AI) and our end-to-end Managed Data Infrastructure to help leading airlines around the world unlock their full potential. With its Cirrus Business Intelligence™ Platform, FLYR Labs provides airlines with the insight and intelligence for making the best-informed decisions.",Active,For Profit,Series C,,2013-01-01,year,"Air Transportation, Analytics, Artificial Intelligence, Big Data, Machine Learning, Predictive Analytics"
Clarke Valve,https://www.crunchbase.com/organization/clarke-industrial-engineering,"North Kingstown, Rhode Island, United States","Clarke Valve is a developer of energy-saving shutter valves designed to work in a variety of industrial and aerospace applications. The company's technology can be easily scaled or customized to meet many challenging requirements and is currently deployed in a diverse spectrum of markets, including oil and gas, aerospace, chemical, power plants, and water management. Its valves offer a combination of zero pressure drop, zero flow restriction, full pluggability, precise flow control, negligible turbulence, low cavitation, low water hammer, low noise, ultra-thin footprint, low power consumption, plug and play adaptability and long-term reliability, that enable power plants, oil and gas facilities, and chemical plants to efficiently use these valves in various challenging applications. Clarke Valve was established in 2011 and is headquartered in North Kingstown, Rhode Island.",Active,For Profit,Series D,,2011-01-01,year,"Aerospace, Electronics, Energy, Industrial, Manufacturing"
GelSight,https://www.crunchbase.com/organization/gelsight,"Waltham, Massachusetts, United States","GelSight provides extremely detailed and rapid surface measurements through the novel GelSight sensor technology. Their approach to metrology is flexible: the same core technology can be used to measure any rigid material at scales spanning four orders of magnitude. Still in its inception, GelSight has already designed and manufactured prototypes for clients in aerospace, ballistics, and metrology. As GelSight expands, they also look forward to learning more about the surface measurement needs.",Active,For Profit,Convertible Note,,2011-01-01,year,"Aerospace, Manufacturing, Nanotechnology, Robotics, Sensor, Test and Measurement"
Sintavia,https://www.crunchbase.com/organization/sintavia,"Hollywood, Florida, United States","Sintavia is the global leader in applied additive manufacturing for the Aerospace, Defense, & Space industry. With high-speed printers co-located alongside precision post processing equipment, a full complement of mechanical testing equipment, and a full metallurgical and powder laboratory, Sintavia is able to optimize parameters, serially manufacture, and audit quality parts for aerospace applications. A founding member of the Additive Manufacturer Green Trade Association, Sintavia is committed to the highest quality standards in the industry and holds multiple Nadcap and other aerospace accreditations.",Active,For Profit,Corporate Round,,2012-01-01,year,"Aerospace, Automotive, Manufacturing, Space Travel, Telecommunications"
Verge Aero,https://www.crunchbase.com/organization/verge-aero,"Philadelphia, Pennsylvania, United States","Verge Aero (Verge) is an experienced team of electrical, computer, software, systems, and aerospace engineers, whose mission is focused on building and deploying unmanned aerial systems (UASs), or drones, for use in the entertainment industry. Verge has designed, developed, and implemented a drone performance software capable of controlling swarms of drones and integrating into existing entertainment systems, providing dynamic interactions with audiences and actors. Near-term applications of the technology include recurring drone performances, venue installations, touring drone performance productions, and drone entertainment products.",Active,For Profit,Seed,,2014-01-01,year,"Aerospace, Software"
PrecisionHawk,https://www.crunchbase.com/organization/precisionhawk,"Raleigh, North Carolina, United States","PrecisionHawk is an information delivery company that combines unmanned aerial systems, remote sensing technologies, and advanced data analytics to improve business operations and day-to-day decision making. PrecisionHawk brings value to an emerging market by offering an end-to-end solution for aerial data gathering, processing, and analysis to provide actionable information across a wide range of data-intensive civilian industries.  Founded in 2010, the company provides a holistic platform using Unmanned Aerial Vehicles (UAVs) for data collection and analysis software tools to deliver better business intelligence to clients across a wide range of civilian industries. PrecisionHawk also owns aerial data software, DataMapper, satellite imagery provider, Terraserver, and the Low Altitude Traffic and Airspace Safety platform for drones, LATAS. PrecisionHawk is headquartered in Raleigh, North Carolina.",Active,For Profit,Series E,,2010-01-01,year,"Aerospace, Artificial Intelligence, Autonomous Vehicles, Drones, Robotics"
Planck Aerosystems,https://www.crunchbase.com/organization/planck-aerosystems,"San Diego, California, United States","Planck Aero has developed an entirely new capability for drone flight — the ability to launch and land on a moving vehicle. Planck integrates artificial intelligence into government and commercial drone applications, helping these organizations unlock new capabilities. Planck's core technology is vision-based navigation and control that vastly expands the operational applications of drones across security, defense, maritime, and logistics industries.",Active,For Profit,Grant,,2014-05-05,day,"Aerospace, Artificial Intelligence, Automotive, Computer Vision, Drones, Information Technology, Navigation, Robotics"
Wisk Aero,https://www.crunchbase.com/organization/wisk,"Mountain View, California, United States",Wisk is an urban air-mobility company on a mission to leave traffic on the ground and make the sustainable flight a reality for everyday life.,Active,For Profit,Corporate Round,,2010-01-01,year,"Aerospace, Air Transportation, Sustainability, Transportation, Travel"
XTI,https://www.crunchbase.com/organization/xti-aircraft-company,"Englewood, Colorado, United States","In 2012, Brody decided to renew the pursuit of his original vision of transforming flight for the commercial marketplace, ultimately bringing a family of vertical takeoff airplanes to market.  This led him to form XTI Aircraft Company and design the TriFan 600 as the world’s first vertical takeoff airplane.  With its eXtended Technology and Innovation, XTI is founded on a culture of customer-focused problem solving to meet the evolving needs of modern travelers and promises to change flight and personal freedom and mobility by air travel forever.",Active,For Profit,Equity Crowdfunding,,2012-01-01,year,"Air Transportation, Information Technology, Leisure, Mechanical Engineering"
Rocket Crafters,https://www.crunchbase.com/organization/rocket-crafters,"Cocoa, Florida, United States","Rocket Crafters is a manufacturer of space launch vehicles created to provide safe, reliable, cost-effective, and eco-friendly launch services. The company is engaged in developing low-cost launch vehicles which utilizes proprietary rocket engine technology called D-DART(hybrid rocket engine technology), Intrepid-1(proprietary rocket technology), rocket propulsion research and development, launch vehicle design-engineering, supply chain development, and launch service logistics planning and development, enabling launch service customers to get a safe, affordable, customer-responsive means to access space.",Active,For Profit,Series A,,2010-10-01,month,"3D Printing, Aerospace, Manufacturing, Space Travel"
Skyfront,https://www.crunchbase.com/organization/skyfront,"Menlo Park, California, United States","Skyfront builds extreme endurance, autonomous aircraft for commercial and public safety applications. The company's drones fly for hours and carry large sensors to monitor, detect, and explore for a fraction of the cost of manned aircraft. Skyfront's mission is to replace manned helicopters for aerial data collection.",Active,For Profit,Venture - Series Unknown,,2014-01-01,year,"Aerospace, Autonomous Vehicles, Drones, Robotics"
bluShift Aerospace,https://www.crunchbase.com/organization/blushift-aerospace,"Brunswick, Maine, United States","Sustainable space launch services provider.  bluShift will offer a truly dedicated, small taxi-ride space launch service catering to the quickly growing market of sending tiny nanosatellites and microsatellites to space. Our technology and business strategy reduces the cost, complexity and risk of launching small payloads to space – a market which is estimated to be $28B over the next decade.",Active,For Profit,Grant,,2014-11-01,month,"Aerospace, CleanTech, Space Travel"
PreNav,https://www.crunchbase.com/organization/prenav,"Redwood City, California, United States","PRENAV was founded in October 2013 with a goal of solving autonomous flight in complex environments.  Since then, they’ve assembled one of the top robotics teams in the world, with experts in computer vision, mechanical engineering, aeronautics, embedded systems, and software.  In their short history, they’ve taken their technology to large industrial sites, inspected wind turbines, designed playful light shows, filmed music videos, and traveled around the world for their customers. And they’re only just getting started. At PRENAV, they’re solving fundamental challenges in robotics around localization, materials, planning, and computer vision in order to build autonomous systems that are ready for the real world.",Active,For Profit,Venture - Series Unknown,,2013-10-01,day,"Aerospace, Drones, Embedded Systems, Navigation, Robotics, Telecommunications"
TamaracK,https://www.crunchbase.com/organization/tamarack,"Sandpoint, Idaho, United States","Tamarack Aerospace is comprised of a group of highly gifted aeronautical, structural and mechanical engineers who have collectively accumulated hundreds of years of experience in working on Type Certificate and Supplemental Type Certificate (STC) projects. They have applied their design talents to diverse certification projects with: Quest Aircraft, Columbia, Boeing Aircraft Company, Aviat and other aircraft OEMs. Specific projects include major aerodynamic and structural improvements to: Citation, Pilatus, Javalin, Hawker, Cirrus, Spectrum, Pitts Special and Husky aircraft.",Active,For Profit,Seed,,2010-01-01,year,"Aerospace, Air Transportation, Manufacturing, Transportation"
EXOS Aerospace,https://www.crunchbase.com/organization/exos-aerospace,"Greenville, Texas, United States","EXOS is a manufacturing company that specializes in biomedical research, material science, and aerospace engineering. The company provides affordable, repeatable, and reliable commercial spaceflight with accelerated turnaround. EXOS was founded in 2014 and headquartered in Greenville, Texas.",Active,For Profit,Venture - Series Unknown,,2014-01-01,year,"Aerospace, Manufacturing, Space Travel"
BlackSky Global,https://www.crunchbase.com/organization/blacksky-global,"Seattle, Washington, United States","BlackSky is the driving force behind looking at our planet in real-time, providing an easy, affordable way to order and access high-quality satellite imaging to vastly improve understanding about our world. Through a planned 60-satellite constellation capturing over 95 percent of the Earth’s populated area, the company will provide near real-time satellite imagery to ensure businesses, nonprofits, and governments make well-informed decisions. Founded in 2013, BlackSky is headquartered in Seattle. BlackSky expects that its services will be attractive to customers in a wide range of industries, including from agriculture, forestry, defense, engineering and engineering businesses, and government customers.",Active,For Profit,Grant,,2013-01-01,year,"Aerospace, Enterprise Software, Real Time"
Vayu,https://www.crunchbase.com/organization/vayu,"Ypsilanti, Michigan, United States","Vayu builds affordable unmanned aerial vehicles (UAVs) for healthcare supply chain management and post-disaster aid delivery. Currently, healthcare providers and disaster relief responders in Asia, Africa, and South America depend on unreliable ad-hoc availability of motorcycles, cars, and trucks to serve remote communities, where over one billion people live all or part of the year without access to all-weather roads. Their vehicle will provide reliable, fast, and affordable delivery of vital goods to these isolated areas, both on a regular basis and in times of crisis.",Active,For Profit,Seed,,2014-01-01,year,"Aerospace, Drones, Innovation Management, Logistics, mHealth"
ExoTerra,https://www.crunchbase.com/organization/exoterra,"Littleton, Colorado, United States","ExoTerra was founded in 2011 with a vision of reducing the cost of space exploration. They pursue this goal by developing affordable technologies that minimize spacecraft mass and volume while enhancing their performance and offering unique capabilities. Since their founding, they have grown to 16 engineers with skills in structural, mechanical, and systems design and analysis, thermal protection and analysis, and electrical engineering. They offer engineering and consulting services in these disciplines, and design and build high-capability power and propulsion components, subsystems, and fully-integrated buses for CubeSats and small satellites.",Active,For Profit,Venture - Series Unknown,,2011-02-16,day,Aerospace
